域名	解析IP	开放端口	WEB服务器	网站状态
job.100tal.com	60.28.207.87	80,443	Microsoft-IIS/7.5	80:正常访问
www.100tal.com	203.107.33.189	80,443	nginx/1.10.2	80:正常访问
e.100tal.com	47.90.61.63	80,443	Microsoft-IIS/7.5	80:正常访问
mail.100tal.com	211.150.66.111	80	Microsoft-IIS/7.5	80:正常访问
v2.100tal.com	221.122.77.155	443	-	443:(404) 未找到
wap.100tal.com	118.190.76.132	80,443	Apache	80:正常访问
v1.100tal.com	221.122.69.2	443	-	443:(404) 未找到
www1.100tal.com	115.182.69.241	80	nginx	80:正常访问
api.100tal.com	103.235.226.212	80,443	nginx/1.10.1	80:正常访问
app.100tal.com	203.107.40.110	80,443	TAL.2	80:正常访问
m.100tal.com	124.250.24.231	-	端口未开放	端口未开放
login.100tal.com	124.250.24.254	80,443	nginx	80:(403) 已禁止
en.100tal.com	118.190.76.132	80,443		80:正常访问
download.100tal.com	118.190.76.132	80,443	Apache	80:(403) 已禁止
houtai.100tal.com	118.190.76.132	80,443	Apache	80:正常访问
ai.100tal.com	103.235.226.213	-	端口未开放	端口未开放
service.100tal.com	203.107.40.110	80,443	TAL.2	80:正常访问
crm.100tal.com	124.250.31.116	-	端口未开放	端口未开放
hr.100tal.com	59.151.118.91	-	端口未开放	端口未开放
security.100tal.com	59.110.244.186	80,443	nginx	80:正常访问
anquan.100tal.com	203.107.40.110	80,443	nginx	80:正常访问
log.100tal.com	103.235.226.213	-	端口未开放	端口未开放
test.100tal.com	202.108.48.138	-	端口未开放	端口未开放
wiki.100tal.com	203.107.33.189	80,443	获取失败	80:-
bi.100tal.com	103.235.226.213	-	端口未开放	端口未开放
info.100tal.com	114.215.43.152	80,443	nginx/1.10.2	80:正常访问
ec.100tal.com	221.122.69.18	-	端口未开放	端口未开放
live.100tal.com	124.250.24.254	80,443	nginx	80:(403) 已禁止
ir.100tal.com	125.56.218.89,125.56.218.84	80,443	nginx	80:正常访问
data.100tal.com	103.235.226.213	-	端口未开放	端口未开放
ldap.100tal.com	111.204.113.180	443	Microsoft-IIS/8.5	443:(500) 内部服务器错误
ops.100tal.com	203.107.40.110	80,443	nginx	80:正常访问
home.100tal.com	103.235.226.233	-	端口未开放	端口未开放
reg.100tal.com	203.107.33.189	80,443	Tengine	80:(502) 错误的网关
pop.100tal.com	211.150.82.7,211.150.82.8	-	端口未开放	端口未开放
smtp.100tal.com	211.150.65.66	-	端口未开放	端口未开放
vpn.100tal.com	111.200.202.114,106.38.120.250	443	-	443:(404) 未找到
tracker.100tal.com	103.235.226.213	-	端口未开放	端口未开放
recommend.100tal.com	120.76.42.217	80	nginx/1.10.3	80:正常访问
rpc.100tal.com	10.2.250.94	-	端口未开放	端口未开放
sign.100tal.com	221.122.77.154	-	端口未开放	端口未开放
mark.100tal.com	103.235.226.213	-	端口未开放	端口未开放
scan.100tal.com	103.235.226.162	-	端口未开放	端口未开放
learn.100tal.com	101.37.188.116	-	端口未开放	端口未开放
star.100tal.com	115.182.69.94	-	端口未开放	端口未开放
culture.100tal.com	114.215.43.152	80,443	nginx/1.10.2	80:(500) 内部服务器错误
notebook.100tal.com	103.235.226.213	-	端口未开放	端口未开放
campus.100tal.com	60.28.207.87	80,443	Microsoft-IIS/7.5	80:正常访问
solar.100tal.com	221.122.65.170	80	nginx/1.10.3 (Ubuntu)	80:正常访问
trace.100tal.com	103.235.226.213	-	端口未开放	端口未开放
label.100tal.com	103.235.226.213	-	端口未开放	端口未开放
bigdata.100tal.com	103.235.226.213	-	端口未开放	端口未开放
pingfen.100tal.com	221.122.77.137	80,443	nginx	80:正常访问
testmail.100tal.com	211.150.64.54	80,443	nginx	80:正常访问
zhibo.100tal.com	124.250.24.254	80,443	nginx	80:(403) 已禁止
fe.100tal.com	123.57.66.8	80,443	nginx/1.10.2	80:正常访问
dp.100tal.com	103.235.226.201	443	获取失败	443:-
ctf.100tal.com	124.250.31.122	80	Apache/2.2.15 (CentOS) DAV/2 PHP/5.3.3	80:正常访问
gxt.100tal.com	221.122.77.157	80,443	TAL.2	80:正常访问
hyp.100tal.com	221.122.69.24	80	Microsoft-IIS/8.0	80:正常访问
fpt.100tal.com	124.250.21.104	-	端口未开放	端口未开放
lsp.100tal.com	59.110.244.186	80,443	Apache/2.4.9 (Win64) PHP/5.5.12	80:正常访问
hue.100tal.com	103.235.226.213	-	端口未开放	端口未开放
pmp.100tal.com	114.215.43.152	80,443	TAL.2	80:正常访问
qyh.100tal.com	123.56.107.66	80,443	Apache	80:(404) 未找到
src.100tal.com	203.107.40.110	80,443	Apache/2.2.15 (CentOS) DAV/2 PHP/5.3.3	80:正常访问
ssc.100tal.com	221.122.77.137	80,443	nginx	80:正常访问
rap.100tal.com	10.2.250.94	-	端口未开放	端口未开放
tag.100tal.com	103.235.226.213	-	端口未开放	端口未开放
biee.100tal.com	221.122.77.132	-	端口未开放	端口未开放
jtwx.100tal.com	59.151.109.87	80	nginx	80:正常访问
