域名	解析IP	开放端口	WEB服务器	网站状态
0.baidu.com	180.149.144.203	80,443	nginx/1.4.1	80:正常访问
1.baidu.com	180.97.36.93	80,443	Apache	80:正常访问
01caijing.baijia.baidu.com	180.97.33.34,180.97.33.41	80	Apache	80:正常访问
020.baijia.baidu.com	180.97.33.34,180.97.33.41	80	Apache	80:正常访问
123.baidu.com	180.97.33.107,180.97.33.108	80,443	bfe/1.0.8.18	80:(302) 重定向
2012.baidu.com	180.97.33.136,115.239.210.174	80,443	Apache	80:正常访问
2014.baidu.com	180.97.33.136,115.239.210.174	80,443	Apache	80:正常访问
21cbh.media.baidu.com	220.181.163.54,180.149.131.88	80	Apache	80:正常访问
2fnandu.media.baidu.com	220.181.163.54,180.149.131.88	80	Apache	80:正常访问
3600.baidu.com	220.181.163.54,180.149.131.88	80	Apache	80:正常访问
3g.baidu.com	115.239.217.68,115.239.217.67	80,443	apache	80:正常访问
abc.baidu.com	180.97.33.107,180.97.33.108	80,443	bfe/1.0.8.18	80:(302) 重定向
ab.baidu.com	180.149.132.116,180.149.132.94	80,443	Apache	80:正常访问
a.baidu.com	220.181.57.146,115.239.210.34	80	ECOM Apache 1.0.13.0	80:正常访问
cha.baidu.com	14.215.178.159	80,443	nginx	80:(404) 未找到
d.baidu.com	220.181.57.217,220.181.57.216	80,443	Apache	80:正常访问
d0.baidu.com	115.239.217.137	80,443	Apache	80:正常访问
dq.baidu.com	180.97.154.37,58.216.55.37,117.91.181.37,121.227.168.37	80,443	JSP3/2.0.14	80:正常访问
e.baidu.com	58.222.53.35	80,443	JSP3/2.0.14	80:正常访问
bc.baidu.com	10.23.250.192	-	端口未开放	端口未开放
g.baidu.com	180.76.146.58	80,443	BLB/	80:正常访问
f.baidu.com	180.97.104.235	80,443	Apache-Coyote/1.1	80:正常访问
bh.baidu.com	10.36.155.42,10.36.160.22,10.38.19.40	-	端口未开放	端口未开放
i.baidu.com	220.181.57.110	80,443	nginx	80:正常访问
cc.baidu.com	10.26.7.113,10.36.253.83	-	端口未开放	端口未开放
l.baidu.com	180.149.144.203	80,443	获取失败	80:-
er.baidu.com	10.58.182.14	-	端口未开放	端口未开放
m.baidu.com	115.239.217.68,115.239.217.67	80,443	apache	80:正常访问
gps.baidu.com	10.242.116.21	-	端口未开放	端口未开放
h.baidu.com	10.240.31.12	-	端口未开放	端口未开放
p.baidu.com	180.149.131.245,180.149.133.165	80,443	Apache	80:正常访问
jj.baidu.com	10.36.7.47	-	端口未开放	端口未开放
op.baidu.com	220.181.57.166	80	-	80:(404) 未找到
lv.baidu.com	115.239.217.166	80,443	apache	80:正常访问
v.baidu.com	115.239.210.38	80,443	apache	80:正常访问
u.baidu.com	220.181.7.195	80,443	BWS	80:正常访问
la.baidu.com	10.83.128.238	-	端口未开放	端口未开放
vv.baidu.com	180.97.36.22	80,443	Apache	80:正常访问
w.baidu.com	220.181.57.216,220.181.57.217	80,443	bfe/1.0.8.18	80:正常访问
o.baidu.com	10.57.13.104	-	端口未开放	端口未开放
