域名	解析IP	开放端口	WEB服务器	网站状态
3300.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
3g.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
3uair.flights.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
8lair.flights.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
9cair.flights.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
accounts.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:(404) 未找到
116travel.flights.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
8684.vacations.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
ad206.ctrip.com	140.207.228.6	80		80:正常访问
ad210.ctrip.com	140.207.228.6	80		80:正常访问
accounts.corporatetravel.ctrip.com	101.226.248.40	-	端口未开放	端口未开放
airbus.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(500) 内部服务器错误
airchina.flights.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
airchina.hotels.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
alibaba.hotels.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
alibb.destguides.ctrip.com	140.207.228.6	80	nginx/1.14.0	80:正常访问
app.ctrip.com	14.215.100.233,183.56.168.99	80,443	Tengine/2.1.2	80:正常访问
bestdeals.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:(404) 未找到
b.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:尝试自动重定向的次数太多
big5.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
bkair.flights.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
bus.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
c.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
caair.flights.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
car.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
card.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
cards.big5.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
campus.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:尝试自动重定向的次数太多
cards.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
cctv.destguides.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
calendar.ctrip.com	101.226.248.1	-	端口未开放	端口未开放
campaign.ctrip.com	101.226.248.1	-	端口未开放	端口未开放
city8.vacations.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
corporatetravel.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
de.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
deals.ctrip.com	101.226.248.1	-	端口未开放	端口未开放
destguides.corporatetravel.ctrip.com	114.80.124.109	-	端口未开放	端口未开放
download.ctrip.com	14.215.100.233,183.56.168.99	80,443	Tengine/2.1.2	80:(403) 已禁止
english.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
eplan.destguides.ctrip.com	114.80.124.109	-	端口未开放	端口未开放
es.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
events.ctrip.com	101.226.248.25	-	端口未开放	端口未开放
expo2010.ctrip.com	101.226.248.1	-	端口未开放	端口未开放
flights.big5.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
fr.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
fun.ctrip.com	101.226.248.123	-	端口未开放	端口未开放
help.big5.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
help.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
hhtravel.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
gzrb.ctrip.com	101.226.248.1	-	端口未开放	端口未开放
huixuan.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
images.ctrip.com	14.215.100.233,183.56.168.99	80,443	Tengine/2.1.2	80:正常访问
images2.ctrip.com	113.13.17.70,113.13.17.71	80,443	DnionOS/1.11.2.4_6	80:正常访问
hunter.ctrip.com	101.226.249.3	-	端口未开放	端口未开放
jifen.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:(404) 未找到
ir.ctrip.com	23.32.248.19,23.32.248.42	80,443		80:正常访问
jp.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
kefu.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
kr.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
livechat.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:(404) 未找到
livechat.english.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:(404) 未找到
lipin.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
map.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
mcp.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
mice.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
mn.ctrip.com	101.226.248.177	-	端口未开放	端口未开放
openapi.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
package.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
pages.big5.ctrip.com	140.207.228.6	80	获取失败	80:-
pages.ctrip.com	59.80.23.81,59.80.23.78,59.80.23.79	80,443	获取失败	80:-
pages.english.ctrip.com	183.56.168.99,14.215.100.233	80,443	Tengine/2.1.2	80:正常访问
ru.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
recruitment.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:尝试自动重定向的次数太多
sec.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(405) 不允许的方法
sbooking.ctrip.com	101.226.248.142	-	端口未开放	端口未开放
sinfo.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
tax.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
techshow.ctrip.com	101.226.248.119	-	端口未开放	端口未开放
tujia.ctrip.com	110.173.1.195	-	端口未开放	端口未开放
uedsummit.ctrip.com	140.206.211.31	80,443	Tengine/2.1.2	80:正常访问
ued.ctrip.com	101.132.125.4	80	nginx/1.12.2	80:正常访问
vbooking.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:正常访问
vn.ctrip.com	140.207.228.6	80	Tengine/2.1.2	80:正常访问
vpn.ctrip.com	140.207.228.6	80	获取失败	80:-
webmail.ctrip.com	112.64.124.246	80,443	Microsoft-IIS/10.0	80:(440) Login Timeout
vichy.ctrip.com	101.226.248.1	-	端口未开放	端口未开放
weekend.ctrip.com	140.207.228.45	80,443	Tengine/2.1.2	80:(404) 未找到
vpn1.ctrip.com	180.166.109.211	-	端口未开放	端口未开放
