域名	解析IP	开放端口	WEB服务器	网站状态
campaign.dji.com	52.20.98.141,54.210.220.129	80,443	openresty	80:正常访问
events.dji.com	13.33.251.28,13.33.251.101,13.33.251.11,13.33.251.109	80,443	获取失败	80:-
event.dji.com	13.33.251.101,13.33.251.109,13.33.251.28,13.33.251.11	80,443	获取失败	80:-
forum.dji.com	13.33.251.27,13.33.251.39,13.33.251.21,13.33.251.49	80,443	获取失败	80:-
developer.dji.com	47.89.227.223	80,443	nginx	80:正常访问
live.dji.com	13.33.251.27,13.33.251.110,13.33.251.105,13.33.251.6	80,443	AmazonS3	80:正常访问
enterprise.dji.com	13.33.251.125,13.33.251.93,13.33.251.13,13.33.251.40	80,443	-	80:(504) 网关超时
citizenship.dji.com	13.33.251.40,13.33.251.93,13.33.251.125,13.33.251.13	80,443	-	80:(504) 网关超时
forum.dev.dji.com	47.89.227.223	80,443		80:正常访问
we.dji.com	13.33.251.101,13.33.251.74,13.33.251.58,13.33.251.78	80,443	获取失败	80:-
m.dji.com	99.84.168.64,99.84.168.28,99.84.168.60,99.84.168.37	80,443	openresty	80:正常访问
store.dji.com	13.33.251.56,13.33.251.22,13.33.251.18,13.33.251.9	80,443	openresty	80:(500) 内部服务器错误
click.dji.com	52.20.103.225,52.5.105.143	80,443	openresty	80:(500) 内部服务器错误
dev.dji.com	52.20.103.225,52.5.105.143	80,443		80:正常访问
show.dji.com	52.5.105.143,52.20.103.225	80,443	openresty	80:(500) 内部服务器错误
www.dji.com	99.84.168.82,99.84.168.39,99.84.168.27,99.84.168.77	80,443	-	80:(504) 网关超时
studiochina.dji.com	54.222.244.29,54.223.251.210	80,443	openresty/1.11.2.1	80:正常访问
q.dji.com	13.33.251.58,13.33.251.72,13.33.251.77,13.33.251.121	80,443	获取失败	80:-
u.dji.com	52.20.103.225,52.5.105.143	80,443	openresty/1.11.2.5	80:正常访问
bbs.dji.com	180.97.180.226,219.146.68.28	80,443	wswaf/2.8.0-10.el6	80:正常访问
account.dji.com	13.33.155.172,13.33.155.115,13.33.155.238,13.33.155.218	80,443	获取失败	80:-
product.dji.com	99.84.168.11,99.84.168.26,99.84.168.29,99.84.168.45	80,443	nw	80:(404) 未找到
plus.dji.com	47.254.50.78	80,443		80:正常访问
pay.dji.com	13.33.251.114,13.33.251.49,13.33.251.122,13.33.251.95	80,443	获取失败	80:-
accounts.dji.com	13.33.251.17,13.33.251.88,13.33.251.43,13.33.251.59	80,443	openresty	80:(500) 内部服务器错误
link.dji.com	174.35.97.146,174.35.98.49	80,443	-	80:(504) 网关超时
active.dji.com	52.5.105.143,52.20.103.225	80,443		80:正常访问
repair.dji.com	13.33.251.89,13.33.251.96,13.33.251.62,13.33.251.102	80,443	获取失败	80:-
coupon.dji.com	13.33.251.13,13.33.251.40,13.33.251.93,13.33.251.125	80,443	-	80:(504) 网关超时
lms.dji.com	13.33.251.98,13.33.251.80,13.33.251.29,13.33.251.7	80,443	获取失败	80:-
ag2.dji.com	54.223.106.175,52.80.88.91	-	端口未开放	端口未开放
