域名	解析IP	开放端口	WEB服务器	网站状态
account.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
kaidian.ele.me	106.15.161.135,106.15.161.75,106.15.160.54,106.15.161.30,139.196.1.179,106.15.161.143,106.15.161.129,106.15.161.140,106.15.161.144,106.15.161.141,106.15.161.142	80,443		80:正常访问
jobs.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
m.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
napos.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
r.ele.me	106.15.161.123,106.15.161.131,106.15.161.78,106.15.161.80,106.15.162.13,106.15.161.121,106.15.161.132,106.15.161.133,106.15.160.57,106.14.48.226	80,443	-	80:(443) Client Error (443)
shop.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
sso.ele.me	106.15.160.54,106.15.161.30,139.196.1.179,106.15.161.143,106.15.161.129,106.15.161.140,106.15.161.144,106.15.161.141,106.15.161.142,106.15.161.135,106.15.161.75	80,443	Tengine	80:正常访问
www.ele.me	47.93.153.114,47.93.70.109	80,443	Sopush/0.18.0	80:正常访问
d.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443		80:正常访问
e.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443		80:正常访问
cms.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
help.ele.me	39.97.7.151,39.107.218.103,47.95.42.5,39.96.97.147	80,443		80:正常访问
v.ele.me	123.56.218.44	80,443	nginx	80:(404) 未找到
static.ele.me	124.251.14.9,103.251.85.31	80,443	Tengine/2.1.2	80:(404) 未找到
open.ele.me	106.15.161.143,106.15.161.129,106.15.161.140,106.15.161.144,106.15.161.141,106.15.161.142,106.15.161.135,106.15.161.75,106.15.160.54,106.15.161.30,139.196.1.179	80,443		80:正常访问
openapi.ele.me	39.107.218.103,47.95.42.5,39.96.97.147,39.97.7.151	80,443		80:正常访问
game.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(404) 未找到
passport.ele.me	39.97.7.151,39.107.218.103,47.95.42.5,39.96.97.147	80,443		80:正常访问
download.ele.me	121.9.246.105,121.9.246.111,121.9.246.110,121.9.246.112,121.9.246.108,121.9.246.107,121.9.246.109,121.9.246.106	80,443	Tengine	80:(404) 未找到
push.ele.me	103.251.85.13	80,443	-	80:(404) 未找到
email.ele.me	112.65.166.114	443	Microsoft-IIS/8.5	443:(440) Login Timeout
activity.ele.me	124.251.14.157	80,443		80:正常访问
portal.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
line.ele.me	124.251.14.128	80,443	-	80:(403) 已禁止
security.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
apollo.ele.me	47.95.42.5,39.96.97.147,39.97.7.151,39.107.218.103	80,443	-	80:(404) 未找到
be.ele.me	182.61.22.11,182.61.40.94,182.61.34.221,182.61.26.32	80,443	WFE	80:正常访问
wiki.ele.me	47.102.23.226	80		80:正常访问
echo.ele.me	106.15.161.133,106.15.160.57,106.14.48.226,106.15.161.123,106.15.161.131,106.15.161.78,106.15.161.80,106.15.162.13,106.15.161.121,106.15.161.132	80,443		80:正常访问
do.ele.me	182.61.58.78	80	Apache	80:正常访问
kr.ele.me	39.96.97.147,39.97.7.151,39.107.218.103,47.95.42.5	80,443	-	80:(404) 未找到
pages.ele.me	140.205.59.105,140.205.59.104,140.205.59.96,140.205.59.95	80,443	Tengine	80:(404) 未找到
pi.ele.me	47.95.95.238	80,443		80:正常访问
pt.ele.me	182.61.34.221,182.61.40.94,182.61.22.11,182.61.26.32	80,443	WFE	80:正常访问
mars.ele.me	124.251.14.176	-	端口未开放	端口未开放
imap.ele.me	112.65.166.114	443	Microsoft-IIS/8.5	443:(440) Login Timeout
sms.ele.me	139.196.71.98,106.15.161.242,139.196.71.122,106.14.48.4,106.14.48.166,106.14.48.12,106.14.48.41,106.14.48.55,139.196.70.162,106.14.48.177	80,443	Tengine	80:正常访问
mercury.ele.me	114.55.82.219	-	端口未开放	端口未开放
pop.ele.me	112.65.166.114	443	Microsoft-IIS/8.5	443:(440) Login Timeout
titan.ele.me	47.95.160.167,47.95.163.182,47.95.42.87,39.107.218.104	80,443	-	80:(404) 未找到
smtp.ele.me	112.65.166.114	443	Microsoft-IIS/8.5	443:(440) Login Timeout
family.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
daily.ele.me	211.148.19.29	80,443		80:正常访问
mx1.ele.me	116.236.204.6	443	Server	443:正常访问
shadow.ele.me	47.93.153.114,47.93.70.109	80,443	Sopush/0.18.0	80:(404) 未找到
grand.ele.me	39.107.218.117,39.107.218.118	80,443	-	80:(404) 未找到
mx2.ele.me	112.65.166.115	-	端口未开放	端口未开放
star.ele.me	182.61.34.221,182.61.26.32,182.61.22.11,182.61.40.94	80,443	WFE	80:正常访问
chosen.ele.me	182.61.22.11,182.61.40.94,182.61.34.221,182.61.26.32	80,443	WFE	80:正常访问
ticket.ele.me	124.251.14.151	-	端口未开放	端口未开放
challenge.ele.me	124.251.14.115	80,443	获取失败	80:-
carbon.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(404) 未找到
campus.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443		80:正常访问
1111.ele.me	47.95.160.44,39.96.131.76	80,443	-	80:(404) 未找到
1.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
12d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
10d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
13d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
11d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
14d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
15d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
16d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
17d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
16w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
17w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
1d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
1w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
29d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
2d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
2w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
31d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
32d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
33d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
34d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
35d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
36d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
3d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
3w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
4d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
4w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
5d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
5w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
6d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
7w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
7d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
8w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
8d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
9d.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
9w.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
account.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
admin.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
at01.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
beta.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
bg.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
bgss.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
bjtu.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
daili.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
cs.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
eapp.ele.me	139.196.251.51	80,443		80:正常访问
deploy.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
freehost5.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
hainnu.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
hk03.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
hk.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
hk02.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
host5.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
knight.ele.me	47.95.42.5,39.96.97.147,39.97.7.151,39.107.218.103	80,443		80:正常访问
imd.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
jd.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
luna.ele.me	103.251.85.6	80,443		80:正常访问
lad.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
oauth.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(404) 未找到
mail.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
manager.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
ping.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
monitor.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
mz.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
restapi.ele.me	47.95.160.167,47.95.163.182,47.95.42.87,39.107.218.104	80,443	-	80:(404) 未找到
nssg.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
sakura.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
maven.ele.me	11.23.26.100	-	端口未开放	端口未开放
phoneapi.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
pqj.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
static2.ele.me	124.251.14.9,103.251.85.31	80,443	Tengine/2.1.2	80:正常访问
shop.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
sinatel.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
sziit.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
topic.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
usall.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
xiaoxian.ele.me	124.251.14.3	80,443		80:正常访问
ussafe.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
vps.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
webgm.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
yinhe.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
youshi.ele.me	106.15.161.30,139.196.1.179,106.15.161.143,106.15.161.129,106.15.161.140,106.15.161.144,106.15.161.141,106.15.161.142,106.15.161.135,106.15.161.75,106.15.160.54	80,443		80:正常访问
wx.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
ka.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443	-	80:(404) 未找到
xwd.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
eo.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
eb.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
fe.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443		80:正常访问
xy.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
apm.ele.me	39.107.218.117,39.107.218.118	80,443		80:正常访问
tb.ele.me	140.205.59.95,140.205.59.96,140.205.59.105,140.205.59.104	80,443	Tengine	80:正常访问
cbt.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
zx.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
zzu.test.ele.me	127.0.0.1	-	端口未开放	端口未开放
ecc.ele.me	47.95.181.194,39.107.218.108,39.107.218.109	80,443	-	80:(404) 未找到
efs.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(405) 不允许的方法
ecs.ele.me	39.107.218.103,47.95.42.5,39.96.97.147,39.97.7.151	80,443	-	80:(403) 已禁止
ent.ele.me	124.251.14.154	80,443	-	80:(403) 已禁止
ema.ele.me	211.148.19.29	80,443	Tengine/2.1.2	80:正常访问
ewf.ele.me	139.196.251.51	80,443		80:正常访问
eop.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443	-	80:(404) 未找到
eou.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
fbs.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443	Sopush/0.18.0	80:正常访问
eim.ele.me	106.15.162.106,139.224.6.125,106.14.49.223,106.14.49.124,106.15.162.8,106.14.49.108	-	端口未开放	端口未开放
mcc.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443	-	80:(404) 未找到
lrd.ele.me	185.199.109.153,185.199.108.153,185.199.111.153,185.199.110.153	80,443	GitHub.com	80:正常访问
pmo.ele.me	103.251.85.6	80,443		80:正常访问
rmb.ele.me	106.15.161.131,106.15.161.78,106.15.161.80,106.15.162.13,106.15.161.121,106.15.161.132,106.15.161.133,106.15.160.57,106.14.48.226,106.15.161.123	80,443		80:正常访问
ssr.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443	-	80:(404) 未找到
mojing.ele.me	182.61.22.11,182.61.26.32,182.61.34.221,182.61.40.94	80,443	获取失败	80:-
ares.ele.me	39.107.218.103,47.95.42.5,39.96.97.147,39.97.7.151	80,443		80:正常访问
baas.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443	-	80:(404) 未找到
blcs.ele.me	106.12.118.168,106.12.118.170	80,443	-	80:(404) 未找到
ebox.ele.me	124.251.14.191	-	端口未开放	端口未开放
ecrm.ele.me	113.207.39.165	-	端口未开放	端口未开放
entu.ele.me	39.107.218.109,47.95.181.194,39.107.218.108	80,443		80:正常访问
faas.ele.me	39.107.218.108,39.107.218.109,47.95.181.194	80,443		80:正常访问
