域名	解析IP	开放端口	WEB服务器	网站状态
2014.iqiyi.com	58.215.115.181,58.215.115.168,58.215.115.166,58.215.115.182,58.215.115.167,58.215.115.165	80,443	QWS	80:(404) 未找到
1376dj.iqiyi.com	58.215.115.168,58.215.115.167,58.215.115.181,58.215.115.165,58.215.115.166,58.215.115.182	80,443	QWS	80:正常访问
101yinyuejie.iqiyi.com	58.215.115.167,58.215.115.166,58.215.115.181,58.215.115.182,58.215.115.168,58.215.115.165	80,443	QWS	80:正常访问
37love.iqiyi.com	58.215.115.182,58.215.115.181,58.215.115.167,58.215.115.168,58.215.115.166,58.215.115.165	80,443	QWS	80:(410) 不再存在
4399.iqiyi.com	61.147.210.175,221.230.143.101	80,443	nginx	80:正常访问
70yx.iqiyi.com	58.215.115.168,58.215.115.181,58.215.115.167,58.215.115.182,58.215.115.165,58.215.115.166	80,443	QWS	80:(410) 不再存在
61.iqiyi.com	58.222.52.204,58.222.52.203,180.101.56.190,180.101.56.189,61.147.234.85,61.147.234.84	80,443	openresty	80:正常访问
aipindao.iqiyi.com	58.215.115.168,58.215.115.182,58.215.115.166,58.215.115.181,58.215.115.165,58.215.115.167	80,443	QWS	80:正常访问
adidasevent.neo.iqiyi.com	58.215.115.181,58.215.115.165,58.215.115.166,58.215.115.182,58.215.115.168,58.215.115.167	80,443	QWS	80:(404) 未找到
ad.iqiyi.com	58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.181,58.215.115.165,58.215.115.168	80,443	QWS	80:正常访问
auto.iqiyi.com	58.215.115.168,58.215.115.181,58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.165	80,443	QWS	80:正常访问
baby.iqiyi.com	58.215.115.168,58.215.115.165,58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.181	80,443	QWS	80:正常访问
ariel.iqiyi.com	1.1.1.1	80,443	yunjiasu-nginx	80:(409) 冲突
beva.iqiyi.com	58.215.115.166,58.215.115.182,58.215.115.167,58.215.115.168,58.215.115.165,58.215.115.181	80,443	QWS	80:(410) 不再存在
business.iqiyi.com	58.215.115.167,58.215.115.168,58.215.115.182,58.215.115.165,58.215.115.181,58.215.115.166	80,443	QWS	80:正常访问
ctrip.iqiyi.com	58.215.115.166,58.215.115.168,58.215.115.165,58.215.115.182,58.215.115.167,58.215.115.181	80,443	QWS	80:(404) 未找到
cqbar.iqiyi.com	101.227.188.176,101.227.188.172,101.227.188.174,101.227.188.178,101.227.188.170,101.227.188.180	80,443	QWS	80:(404) 未找到
chinafoodtv.iqiyi.com	101.227.188.180,101.227.188.178,101.227.188.174,101.227.188.172,101.227.188.170,101.227.188.176	80,443	QWS	80:正常访问
cqonline.iqiyi.com	101.227.188.176,101.227.188.170,101.227.188.174,101.227.188.178,101.227.188.180,101.227.188.172	80,443	QWS	80:(404) 未找到
dl.static.iqiyi.com	58.215.115.170,58.215.115.169	80,443	nginx	80:正常访问
avon.iqiyi.com	211.151.156.104	80	nginx/1.0.15	80:正常访问
club.iqiyi.com	58.215.115.182,58.215.115.165,58.215.115.166,58.215.115.168,58.215.115.181,58.215.115.167	80,443	QWS	80:正常访问
donghuitiandi.iqiyi.com	58.215.115.168,58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.165,58.215.115.181	80,443	QWS	80:(404) 未找到
dv.iqiyi.com	58.215.115.182,58.215.115.181,58.215.115.165,58.215.115.166,58.215.115.168,58.215.115.167	80,443	QWS	80:正常访问
cserver.iqiyi.com	36.110.238.87	80,443	QWS	80:正常访问
edu24ol.iqiyi.com	58.215.115.168,58.215.115.167,58.215.115.165,58.215.115.181,58.215.115.166,58.215.115.182	80,443	QWS	80:(404) 未找到
ewang.iqiyi.com	58.215.115.167,58.215.115.166,58.215.115.182,58.215.115.181,58.215.115.168,58.215.115.165	80,443	QWS	80:正常访问
echannel.iqiyi.com	101.227.188.178,101.227.188.170,101.227.188.180,101.227.188.176,101.227.188.172,101.227.188.174	80,443	QWS	80:正常访问
fashion.iqiyi.com	101.227.188.176,101.227.188.172,101.227.188.178,101.227.188.170,101.227.188.174,101.227.188.180	80,443	QWS	80:正常访问
f.iqiyi.com	58.215.115.165,58.215.115.166,58.215.115.181,58.215.115.167,58.215.115.182,58.215.115.168	80,443	QWS	80:正常访问
g.iqiyi.com	58.215.115.182,58.215.115.166,58.215.115.165,58.215.115.167,58.215.115.181,58.215.115.168	80,443	QWS	80:正常访问
geabies.iqiyi.com	58.215.115.168,58.215.115.181,58.215.115.166,58.215.115.165,58.215.115.182,58.215.115.167	80,443	QWS	80:(410) 不再存在
fun.iqiyi.com	58.215.115.165,58.215.115.168,58.215.115.182,58.215.115.167,58.215.115.166,58.215.115.181	80,443	QWS	80:正常访问
games.iqiyi.com	58.215.115.165,58.215.115.166,58.215.115.167,58.215.115.181,58.215.115.168,58.215.115.182	80,443	QWS	80:正常访问
hd.tianyi.iqiyi.com	101.227.188.174,101.227.188.180,101.227.188.178,101.227.188.172,101.227.188.176,101.227.188.170	80,443	QWS	80:(404) 未找到
g.ppstream.iqiyi.com	58.215.115.181,58.215.115.168,58.215.115.166,58.215.115.165,58.215.115.167,58.215.115.182	80,443	QWS	80:正常访问
edu.iqiyi.com	58.215.115.168,58.215.115.182,58.215.115.166,58.215.115.181,58.215.115.167,58.215.115.165	80,443	QWS	80:正常访问
heitian.iqiyi.com	58.215.115.181,58.215.115.182,58.215.115.165,58.215.115.167,58.215.115.168,58.215.115.166	80,443	QWS	80:(410) 不再存在
help.pps.tv.iqiyi.com	58.215.115.166,58.215.115.182,58.215.115.181,58.215.115.168,58.215.115.167,58.215.115.165	80,443	QWS	80:正常访问
hao123.iqiyi.com	180.97.36.72	80,443	Apache	80:正常访问
henan.iqiyi.com	101.227.188.180,101.227.188.172,101.227.188.170,101.227.188.176,101.227.188.178,101.227.188.174	80,443	QWS	80:(404) 未找到
index.iqiyi.com	58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.181,58.215.115.168,58.215.115.165	80,443	QWS	80:正常访问
ireadweekly.iqiyi.com	58.215.115.166,58.215.115.181,58.215.115.167,58.215.115.182,58.215.115.165,58.215.115.168	80,443	QWS	80:(404) 未找到
iweixiao.iqiyi.com	58.215.115.168,58.215.115.181,58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.165	80,443	QWS	80:(410) 不再存在
izaodao.iqiyi.com	58.215.115.165,58.215.115.182,58.215.115.168,58.215.115.166,58.215.115.181,58.215.115.167	80,443	QWS	80:(410) 不再存在
jing.iqiyi.com	101.227.188.176,101.227.188.170,101.227.188.172,101.227.188.174,101.227.188.178,101.227.188.180	80,443	QWS	80:正常访问
ksfexo.iqiyi.com	58.215.115.167,58.215.115.165,58.215.115.181,58.215.115.168,58.215.115.166,58.215.115.182	80,443	QWS	80:正常访问
a.iqiyi.com	58.215.115.167,58.215.115.165,58.215.115.181,58.215.115.182,58.215.115.166,58.215.115.168	80,443	nginx	80:尝试自动重定向的次数太多
kuaitv.iqiyi.com	58.215.115.165,58.215.115.166,58.215.115.181,58.215.115.182,58.215.115.168,58.215.115.167	80,443	QWS	80:(410) 不再存在
kuga-nishiguang.iqiyi.com	58.215.115.182,58.215.115.166,58.215.115.167,58.215.115.168,58.215.115.181,58.215.115.165	80,443	QWS	80:正常访问
ibabyzone.iqiyi.com	47.95.64.198	80,443	nginx	80:正常访问
2144.iqiyi.com	61.129.46.73	-	端口未开放	端口未开放
labs.iqiyi.com	58.215.115.181,58.215.115.182,58.215.115.168,58.215.115.166,58.215.115.167,58.215.115.165	80,443	QWS	80:正常访问
list.iqiyi.com	58.215.115.168,58.215.115.182,58.215.115.166,58.215.115.167,58.215.115.181,58.215.115.165	80,443	QWS	80:正常访问
m.iqiyi.com	58.215.115.168,58.215.115.182,58.215.115.166,58.215.115.165,58.215.115.181,58.215.115.167	80,443	QWS	80:正常访问
life.iqiyi.com	58.215.115.167,58.215.115.168,58.215.115.166,58.215.115.165,58.215.115.181,58.215.115.182	80,443	QWS	80:正常访问
meirishijie.iqiyi.com	58.215.115.166,58.215.115.182,58.215.115.167,58.215.115.168,58.215.115.181,58.215.115.165	80,443	QWS	80:(410) 不再存在
m.passport.iqiyi.com	223.99.245.164	80,443	QWS	80:正常访问
mil.iqiyi.com	58.215.115.182,58.215.115.166,58.215.115.167,58.215.115.181,58.215.115.168,58.215.115.165	80,443	QWS	80:正常访问
live.iqiyi.com	36.110.220.41	80,443	nginx	80:正常访问
mini.app.iqiyi.com	58.215.115.168,58.215.115.165,58.215.115.182,58.215.115.166,58.215.115.181,58.215.115.167	80,443	QWS	80:(404) 未找到
msg.iqiyi.com	116.211.186.209,116.211.186.208	80,443	nginx	80:正常访问
minutemaid.iqiyi.com	58.215.115.165,58.215.115.166,58.215.115.181,58.215.115.182,58.215.115.167,58.215.115.168	80,443	QWS	80:正常访问
musicking.iqiyi.com	58.215.115.168,58.215.115.181,58.215.115.166,58.215.115.167,58.215.115.182,58.215.115.165	80,443	QWS	80:(410) 不再存在
mycartoon.iqiyi.com	58.215.115.166,58.215.115.167,58.215.115.168,58.215.115.182,58.215.115.165,58.215.115.181	80,443	QWS	80:(410) 不再存在
opcchina.iqiyi.com	58.215.115.167,58.215.115.166,58.215.115.168,58.215.115.181,58.215.115.182,58.215.115.165	80,443	QWS	80:(404) 未找到
itongqi.iqiyi.com	58.215.115.166,58.215.115.181,58.215.115.167,58.215.115.182,58.215.115.168,58.215.115.165	80,443	QWS	80:正常访问
nt.game.iqiyi.com	115.182.238.32	80,443	QWS	80:正常访问
open.iqiyi.com	58.215.115.182,58.215.115.168,58.215.115.165,58.215.115.167,58.215.115.166,58.215.115.181	80,443	QWS	80:正常访问
nbweekly.iqiyi.com	58.215.115.167,58.215.115.182,58.215.115.166,58.215.115.165,58.215.115.168,58.215.115.181	80,443	QWS	80:正常访问
ota.iqiyi.com	101.227.32.21	80,443	openresty	80:(403) 已禁止
partner.vip.iqiyi.com	101.227.32.21	80,443	openresty	80:(404) 未找到
pili.iqiyi.com	58.215.115.165,58.215.115.166,58.215.115.168,58.215.115.181,58.215.115.167,58.215.115.182	80,443	QWS	80:(410) 不再存在
ppsyx.iqiyi.com	58.215.115.168,58.215.115.182,58.215.115.166,58.215.115.167,58.215.115.165,58.215.115.181	80,443	QWS	80:(502) 错误的网关
piao.iqiyi.com	49.7.32.29,101.227.32.29	80,443	nginx	80:正常访问
passport.iqiyi.com	101.227.32.33	80,443	QWS	80:正常访问
qianse.iqiyi.com	58.215.115.181,58.215.115.168,58.215.115.165,58.215.115.182,58.215.115.166,58.215.115.167	80,443	QWS	80:(404) 未找到
qipaoxian.iqiyi.com	58.215.115.181,58.215.115.167,58.215.115.168,58.215.115.182,58.215.115.165,58.215.115.166	80,443	QWS	80:(410) 不再存在
qlz.iqiyi.com	101.227.188.176,101.227.188.180,101.227.188.174,101.227.188.178,101.227.188.172,101.227.188.170	80,443	QWS	80:正常访问
rainbow.iqiyi.com	58.215.115.182,58.215.115.168,58.215.115.165,58.215.115.167,58.215.115.181,58.215.115.166	80,443	QWS	80:正常访问
serv.vip.iqiyi.com	36.110.134.200	80,443	Tengine/2.2.0	80:正常访问
music.iqiyi.com	58.215.115.181,58.215.115.182,58.215.115.165,58.215.115.167,58.215.115.166,58.215.115.168	80,443	QWS	80:正常访问
slamball.iqiyi.com	58.215.115.166,58.215.115.165,58.215.115.182,58.215.115.181,58.215.115.168,58.215.115.167	80,443	QWS	80:(404) 未找到
so.iqiyi.com	101.227.32.66,101.227.32.63	80,443	Tengine	80:(405) 不允许的方法
shaoer.iqiyi.com	58.215.115.167,58.215.115.181,58.215.115.182,58.215.115.166,58.215.115.165,58.215.115.168	80,443	QWS	80:正常访问
sports.iqiyi.com	58.215.115.167,58.215.115.166,58.215.115.181,58.215.115.165,58.215.115.168,58.215.115.182	80,443	QWS	80:正常访问
sogou.iqiyi.com	36.110.147.36,220.181.124.36,36.110.171.40,36.110.147.35,106.39.246.43,36.110.171.43,106.39.246.41,220.181.124.50	80,443	nginx	80:正常访问
staging.m.iqiyi.com	111.206.22.9	80,443	openresty	80:(404) 未找到
suipiankongjian.iqiyi.com	58.215.115.166,58.215.115.167,58.215.115.181,58.215.115.165,58.215.115.182,58.215.115.168	80,443	QWS	80:(410) 不再存在
qingyin.iqiyi.com	58.215.115.166,58.215.115.181,58.215.115.167,58.215.115.182,58.215.115.165,58.215.115.168	80,443	QWS	80:正常访问
talkshow.iqiyi.com	58.215.115.165,58.215.115.166,58.215.115.181,58.215.115.168,58.215.115.167,58.215.115.182	80,443	QWS	80:正常访问
shidaiguanghua.iqiyi.com	58.215.115.167,58.215.115.165,58.215.115.166,58.215.115.181,58.215.115.168,58.215.115.182	80,443	QWS	80:正常访问
tianyi.iqiyi.com	101.227.188.180,101.227.188.176,101.227.188.170,101.227.188.178,101.227.188.172,101.227.188.174	80,443	QWS	80:(404) 未找到
sichuan.iqiyi.com	58.215.115.181,58.215.115.165,58.215.115.182,58.215.115.166,58.215.115.168,58.215.115.167	80,443	QWS	80:正常访问
tech.iqiyi.com	58.215.115.182,58.215.115.181,58.215.115.168,58.215.115.166,58.215.115.167,58.215.115.165	80,443	QWS	80:正常访问
tiyu.iqiyi.com	58.215.115.166,58.215.115.165,58.215.115.168,58.215.115.182,58.215.115.181,58.215.115.167	80,443	QWS	80:正常访问
today.iqiyi.com	58.215.115.168,58.215.115.182,58.215.115.166,58.215.115.165,58.215.115.181,58.215.115.167	80,443	QWS	80:正常访问
tj.iqiyi.com	101.227.188.170,101.227.188.178,101.227.188.176,101.227.188.174,101.227.188.180,101.227.188.172	80,443	QWS	80:正常访问
tongding.iqiyi.com	58.215.115.168,58.215.115.166,58.215.115.181,58.215.115.165,58.215.115.167,58.215.115.182	80,443	QWS	80:(404) 未找到
huawei-microfilm.iqiyi.com	111.206.13.126	-	端口未开放	端口未开放
paike.iqiyi.com	58.215.115.165,58.215.115.167,58.215.115.166,58.215.115.182,58.215.115.168,58.215.115.181	80,443	QWS	80:正常访问
