域名	解析IP	开放端口	WEB服务器	网站状态
a.jd.com	202.77.129.232	80,443	JDWS/1.0.0	80:正常访问
8.jd.com	211.151.8.151	80,443	JDWS/1.0.0	80:(405) 不允许的方法
afs2.shop.jd.com	202.77.129.225	80,443	JDWS/1.0.0	80:正常访问
accy.jd.com	120.52.148.96	80,443	JDWS	80:正常访问
app.jd.com	202.77.129.230	80,443	nginx/1.8.1	80:正常访问
appengine.jd.com	211.151.13.153	-	端口未开放	端口未开放
audio.jd.com	106.39.167.230	80,443	JengineD/1.7.2.1	80:正常访问
auction.jd.com	202.77.129.172	80,443	nginx/1.12.2	80:(405) 不允许的方法
baby.jd.com	202.77.129.232	80,443	JengineD/1.7.2.1	80:正常访问
b.jd.com	202.77.129.232	80,443	JengineD/1.7.2.1	80:正常访问
autorank.jd.com	106.39.169.161	443	JDWS	443:正常访问
bh.jd.com	106.39.169.66	80,443	JDWS/1.0.0	80:正常访问
baina.jd.com	211.151.9.137,111.202.65.194	80,443	JDWS	80:正常访问
ab.jd.com	192.168.147.127	-	端口未开放	端口未开放
abc.jd.com	192.168.147.125	-	端口未开放	端口未开放
bc.jd.com	172.20.36.50	-	端口未开放	端口未开放
bb.jd.com	172.20.46.72	-	端口未开放	端口未开放
d.jd.com	202.77.129.158	80,443	JengineD	80:正常访问
e.jd.com	202.77.128.77	80,443	JDWS	80:正常访问
dq.jd.com	106.38.239.7,211.151.10.105	80,443	jen/2.0.0	80:正常访问
gps.jd.com	202.77.129.238	80,443	JDWS/1.0.0	80:正常访问
i.jd.com	106.39.169.26	80,443	JDWS/1.0.0	80:(404) 未找到
k.jd.com	202.77.129.230	80,443	nginx/1.8.1	80:正常访问
er.jd.com	118.193.223.202	-	端口未开放	端口未开放
h.jd.com	124.250.32.166	80,443	获取失败	80:-
f.jd.com	120.52.148.238	80,443	JDWS/1.0.0	80:(405) 不允许的方法
ips.jd.com	172.20.33.116	-	端口未开放	端口未开放
jj.jd.com	211.151.8.132	80	JDWS/1.0.0	80:正常访问
j.jd.com	211.151.9.75	-	端口未开放	端口未开放
m.jd.com	202.77.129.230	80,443	openresty	80:正常访问
c.jd.com	211.151.10.138	80,443	wy_nginx/1.9.5	80:正常访问
o.jd.com	202.77.129.185	80,443	nginx/1.8.1	80:(405) 不允许的方法
ok.jd.com	202.77.129.232	80,443	JDWS/1.0.0	80:正常访问
l.jd.com	172.28.60.64	-	端口未开放	端口未开放
lv.jd.com	172.20.35.92	-	端口未开放	端口未开放
mybaby.jd.com	172.20.35.92	-	端口未开放	端口未开放
pb.jd.com	123.126.36.181	80,443	JDWS/1.0.0	80:(403) 已禁止
n.jd.com	124.250.16.113	80	wy_nginx/1.9.5	80:正常访问
s.jd.com	202.77.129.230	80,443	JengineD/1.7.2.1	80:正常访问
q.jd.com	202.77.128.77	80,443	JDWS	80:正常访问
p.jd.com	106.39.167.232	-	端口未开放	端口未开放
op.jd.com	172.20.33.200	-	端口未开放	端口未开放
r.jd.com	172.22.132.30	-	端口未开放	端口未开放
t.jd.com	202.77.129.232	80,443	JengineD	80:正常访问
tt.jd.com	111.13.29.159	-	端口未开放	端口未开放
v3.jd.com	101.124.27.203,101.124.27.202,116.196.126.77,101.124.27.201,101.124.27.131,116.196.126.135,116.196.126.134,101.124.27.148,116.196.126.76,101.124.27.147,116.196.126.78,116.196.126.136	80,443	jfe	80:(403) 已禁止
