域名	解析IP	开放端口	WEB服务器	网站状态
1314.jiayuan.com	59.151.18.56	80	jyws	80:正常访问
book.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
case.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
apps.jiayuan.com	47.94.15.239	80,443	nginx	80:正常访问
date.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
bbs.missu.jiayuan.com	211.151.166.165	-	端口未开放	端口未开放
fate.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
game.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
dl.jiayuan.com	1.31.173.114,121.29.54.195,221.204.166.38,125.211.204.209,221.204.60.123,221.204.58.110,59.83.218.231,27.221.28.207,221.204.166.20,221.204.166.22,60.217.249.124,27.221.28.204,121.29.54.65,121.29.54.199,221.204.60.63	80,443	TencentCOS	80:(404) 未找到
d.jiayuan.com	47.94.15.239	80,443	nginx	80:正常访问
cpbangzhu.jiayuan.com	59.151.17.245	-	端口未开放	端口未开放
cpzixun.jiayuan.com	59.151.17.245	-	端口未开放	端口未开放
crm.jiayuan.com	59.151.12.208	80	jyws	80:正常访问
im.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
i.jiayuan.com	47.94.15.239	80,443	nginx	80:正常访问
ddt2.game.jiayuan.com	218.245.0.23	-	端口未开放	端口未开放
login.jiayuan.com	39.107.241.65	80,443	nginx	80:正常访问
jr.jiayuan.com	211.151.136.130	80,443	jyws	80:正常访问
m.jr.jiayuan.com	211.151.136.130	80,443	jyws	80:正常访问
passport.jiayuan.com	39.107.241.65	80,443	nginx	80:正常访问
party.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
mail.jiayuan.com	124.193.193.30	-	端口未开放	端口未开放
missu.jiayuan.com	59.151.22.25	-	端口未开放	端口未开放
profile.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
monitor.jiayuan.com	59.151.22.12	80	获取失败	80:-
qinggan.jiayuan.com	59.151.18.38	80	jyws	80:正常访问
reg.jiayuan.com	39.106.165.173	80,443	nginx	80:正常访问
pub.jiayuan.com	59.151.18.50	-	端口未开放	端口未开放
qianggezi.jiayuan.com	122.11.62.84	-	端口未开放	端口未开放
search.jiayuan.com	47.94.15.239	80,443	nginx	80:正常访问
s1.sy.game.jiayuan.com	115.182.66.70	-	端口未开放	端口未开放
s.jiayuan.com	59.151.22.110	-	端口未开放	端口未开放
subject.jiayuan.com	59.151.18.38	80	jyws	80:正常访问
smtp.jiayuan.com	124.193.193.30	-	端口未开放	端口未开放
tuan.jiayuan.com	122.11.62.129	-	端口未开放	端口未开放
v.jiayuan.com	47.94.10.46	80,443		80:正常访问
vip.jiayuan.com	47.94.10.46	80,443		80:正常访问
webim.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
watermark.jiayuan.com	59.151.12.232	80	nginx	80:正常访问
y.jiayuan.com	113.18.196.232,113.18.196.236,113.18.196.231,113.18.196.235,113.18.196.233,113.18.196.234,113.18.196.230,113.18.196.237	443	获取失败	443:-
g.jiayuan.com	218.245.0.23	-	端口未开放	端口未开放
t.jiayuan.com	122.11.62.41	-	端口未开放	端口未开放
api2.jiayuan.com	47.94.204.93	80,443	nginx	80:(404) 未找到
api.jiayuan.com	103.108.8.222	80,443	jyws	80:(404) 未找到
map.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
cp.jiayuan.com	59.151.17.237	-	端口未开放	端口未开放
corp.jiayuan.com	59.151.18.10	80	Varnish	80:(404) 未找到
apple.jiayuan.com	42.62.90.23	-	端口未开放	端口未开放
logs.jiayuan.com	59.151.18.14	-	端口未开放	端口未开放
wordpress.jiayuan.com	10.167.33.41	-	端口未开放	端口未开放
zhaopin.jiayuan.com	124.193.193.27	-	端口未开放	端口未开放
youxi.jiayuan.com	211.151.166.3	80	nginx	80:正常访问
love.jiayuan.com	47.94.204.93	80,443	nginx	80:正常访问
weibo.jiayuan.com	122.11.62.58	-	端口未开放	端口未开放
ads.jiayuan.com	47.94.15.239	80,443	nginx	80:正常访问
ad.jiayuan.com	59.151.18.11	-	端口未开放	端口未开放
