域名	解析IP	开放端口	WEB服务器	网站状态
100038336.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100084049.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100661005.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100412535.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100516594.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100666543.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100293200.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100018800.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
100731278.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101021358.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101227922.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101403315.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101595327.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101622890.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101630941.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101636791.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101657880.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101899233.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101778487.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101866280.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
101943561.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102049715.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102085011.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102104492.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102465912.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102622153.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102284705.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102273668.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102128029.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102534409.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102631107.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102675875.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102699012.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102751847.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102814152.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102910562.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102722756.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
102914283.show.jj.cn	115.182.199.95	80,443	nginx	80:正常访问
