域名	解析IP	开放端口	WEB服务器	网站状态
sec.ly.com	104.31.69.108,104.31.68.108	80,443	cloudflare	80:正常访问
union.ly.com	118.212.234.89,121.29.54.199,221.204.166.22,139.215.203.199,139.215.203.208,211.91.160.204,218.11.8.104,182.118.11.236,125.211.204.209,113.200.16.27,121.29.54.195,27.221.28.204,221.204.166.20,221.204.166.38,121.29.54.65	80,443	获取失败	80:-
zby.ly.com	157.185.179.24,70.39.191.89	80,443	openresty/1.11.2.1	80:(404) 未找到
jr.ly.com	157.185.179.24,70.39.191.89	80,443	Apache-Coyote/1.1	80:(405) 不允许的方法
appnew.ly.com	205.185.216.10,205.185.216.42	80,443	Microsoft-IIS/7.5	80:正常访问
app.ly.com	205.185.216.42,205.185.216.10	80,443	Microsoft-IIS/7.5	80:正常访问
m.ly.com	205.185.216.42,205.185.216.10	80,443	获取失败	80:-
ghotel.ly.com	211.159.209.4	80,443	Microsoft-IIS/7.5	80:正常访问
flights.ly.com	211.159.209.4	80,443	Microsoft-IIS/7.5	80:正常访问
gny.ly.com	211.159.209.4	80,443	NWSs	80:正常访问
go.ly.com	211.159.209.4	80,443	Microsoft-IIS/7.5	80:正常访问
bus.ly.com	211.159.209.4	80,443	Tengine/2.1.2	80:正常访问
pay.ly.com	211.159.209.4	80,443	Microsoft-IIS/7.5	80:正常访问
tmc.ly.com	211.159.209.4	80,443		80:正常访问
train.ly.com	222.218.87.128,157.185.177.129	80	获取失败	80:-
en.ly.com	23.248.179.10,23.248.179.11,23.248.179.12,23.248.179.13	80,443	NWSs	80:正常访问
s.ly.com	23.248.179.12,23.248.179.11,23.248.179.13,23.248.179.10	80,443	cloudflare	80:正常访问
passport.ly.com	23.248.179.13,23.248.179.10,23.248.179.11,23.248.179.12	80,443	NWSs	80:(500) 内部服务器错误
www.ly.com	23.248.179.13,23.248.179.10,23.248.179.12,23.248.179.11	80,443	NWSs	80:(564)
dm.ly.com	61.147.84.44	80,443	nginx	80:正常访问
globalhotel.ly.com	61.155.159.101	80,443	Microsoft-IIS/7.5	80:正常访问
member.ly.com	61.155.159.249	80,443	NWSs	80:(500) 内部服务器错误
touch.ly.com	61.155.159.249	80,443	NWSs	80:正常访问
hotel.ly.com	61.155.159.249	80,443	NWSs	80:(564)
guard.ly.com	61.155.159.82	-	端口未开放	端口未开放
shouji.ly.com	61.155.197.248	80,443	Microsoft-IIS/7.5	80:正常访问
jipiao.ly.com	61.177.22.232	80,443	openresty/1.11.2.1	80:正常访问
mhr.ly.com	61.177.22.232	80,443	Microsoft-IIS/7.5	80:正常访问
zuche.ly.com	61.177.22.232	80,443	NWSs	80:(564)
zzyeb.ly.com	61.177.22.232	80,443	NWSs	80:正常访问
tag.ly.com	61.177.22.232	80,443	NWSs	80:(564)
payment.ly.com	61.177.22.232	80,443	Tengine/2.1.0	80:正常访问
so.ly.com	61.177.22.232	80,443	Microsoft-IIS/7.5	80:正常访问
livechat.ly.com	61.177.22.232	80,443	Microsoft-IIS/7.5	80:正常访问
mall.ly.com	61.177.22.3	80,443	openresty/1.11.2.5	80:(403) 已禁止
job.ly.com	66.198.24.234,47.246.17.233,66.198.24.181,66.198.24.182,66.198.24.185,47.246.17.228,47.246.17.230,47.246.17.229,66.198.24.180,47.246.17.227,47.246.17.231,66.198.24.186,47.246.17.232,66.198.24.179	80,443	Tengine	80:正常访问
tuan.ly.com	70.39.191.89,157.185.179.24	80,443	NWSs	80:(564)
