域名	解析IP	开放端口	WEB服务器	网站状态
110.meituan.com	119.28.38.157	80,443	Tengine	80:正常访问
2fr.union.meituan.com	103.37.142.170,101.236.12.14,103.37.152.58	80,443	Tengine	80:正常访问
advert.mobile.meituan.com	119.28.38.158	80,443	Tengine	80:(405) 不允许的方法
api.union.meituan.com	103.37.152.58,103.37.142.170,101.236.12.14	80,443	Tengine	80:(404) 未找到
al.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anshun.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
aj.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anqing.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anning.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anxi.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
alt.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
am.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anyue.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
als.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
ab.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
aks.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
ankang.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
alaer.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anhua.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
baise.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
anping.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
baishan.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
aq.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
baofeng.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
as.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
baoji.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
ay.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
campus.meituan.com	203.76.217.2,203.76.216.1	80,443	Tengine	80:正常访问
bazhong.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
bc.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
bd.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
baoying.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
baz.meituan.com	119.28.38.158	80,443	Tengine	80:尝试自动重定向的次数太多
