域名	解析IP	开放端口	WEB服务器	网站状态
app.meizu.com	183.61.122.69	80,443	nginx	80:正常访问
care.meizu.com	203.107.32.146	80,443	nginx	80:正常访问
download.meizu.com	87.245.210.7,87.245.210.11,87.245.210.8,87.245.210.77,87.245.210.76	80,443	nginx	80:(403) 已禁止
eln.meizu.com	171.111.154.207	80,443	Tengine	80:(502) 错误的网关
findphoneweb.meizu.com	14.152.75.164	80,443	获取失败	80:-
detail.meizu.com	203.107.32.146	80,443	openresty	80:正常访问
gamebbs.meizu.com	14.152.75.174	80,443	nginx	80:正常访问
en.meizu.com	119.28.48.239,49.51.8.209	80	DNSPod URL V2.0	80:(404) 未找到
event.meizu.com	120.79.112.205	80,443		80:正常访问
hr.meizu.com	203.107.32.146	80,443	nginx	80:正常访问
53kf2.meizu.com	14.152.74.172	-	端口未开放	端口未开放
developer.meizu.com	14.152.75.168	80,443	nginx	80:正常访问
install.mystore.meizu.com	183.61.122.69	80,443	nginx	80:正常访问
flymebbs.meizu.com	14.152.75.173	80,443		80:正常访问
bug.meizu.com	14.152.75.173	80,443		80:正常访问
img.meizu.com	121.14.201.206	80,443	nginx	80:正常访问
hd.meizu.com	120.77.133.107	80,443	openresty	80:(403) 已禁止
mq.meizu.com	203.107.32.146	80,443	Tengine	80:(502) 错误的网关
music.meizu.com	14.152.75.187	80,443	nginx	80:(403) 已禁止
mail.meizu.com	14.29.68.185	80,443	Microsoft-IIS/7.5	80:正常访问
m.meizu.com	47.74.172.8	80,443		80:正常访问
me.meizu.com	203.107.32.146	80,443	nginx	80:正常访问
ordercenter.meizu.com	203.107.32.146	80,443	openresty	80:正常访问
open.meizu.com	183.61.122.108	80,443	nginx	80:正常访问
il.meizu.com	119.28.48.239,49.51.8.209	80	DNSPod URL V2.0	80:(404) 未找到
iq.meizu.com	119.147.165.249	-	端口未开放	端口未开放
retail.meizu.com	203.107.32.146	80,443	nginx	80:正常访问
mall.meizu.com	203.107.32.146	80,443		80:正常访问
oa.meizu.com	14.29.68.179	-	端口未开放	端口未开放
safe.meizu.com	183.61.122.111	80,443	nginx	80:(404) 未找到
rms.meizu.com	47.93.120.1	80,443	nginx/1.12.1	80:正常访问
panda.meizu.com	124.251.60.232	-	端口未开放	端口未开放
pic.meizu.com	58.63.253.69	-	端口未开放	端口未开放
ros.meizu.com	47.93.168.95	80,443	nginx/1.12.1	80:正常访问
ru.meizu.com	49.51.8.209,119.28.48.239	80	DNSPod URL V2.0	80:(404) 未找到
sec.meizu.com	14.29.125.185	80,443	nginx	80:正常访问
sync.meizu.com	14.152.75.177	80,443	nginx	80:正常访问
s.meizu.com	123.56.98.135	-	端口未开放	端口未开放
url.meizu.com	203.107.32.146	80,443	nginx	80:(400) 错误的请求
service.meizu.com	59.110.244.21	80,443	nginx	80:正常访问
shop.meizu.com	119.147.165.249	-	端口未开放	端口未开放
