域名	解析IP	开放端口	WEB服务器	网站状态
13banna.i.qunar.com	123.59.180.168	80,443	QWS/1.0	80:正常访问
154461605.i.qunar.com	123.59.180.168	80,443	QWS/1.0	80:正常访问
15668.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
1264.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
11539.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
10381.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
13261.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
172014.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
2stars.hotel.qunar.com	123.59.180.175	80,443	QWS/1.0	80:正常访问
197.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
12138.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
12542.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
184760.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
12449.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
10334.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
10657.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
15353.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
192271.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
3g.qunar.com	59.151.47.235,117.122.224.140,123.59.180.167	80,443	QWS/1.0	80:正常访问
2371.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
27154.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
30913.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
28372.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
30997.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
32100.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
27354.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
3207.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
32554.dujia.qunar.com	59.151.47.238,123.59.180.161	80,443	QWS/1.0	80:正常访问
5stars.hotel.qunar.com	123.59.180.175	80,443	QWS/1.0	80:正常访问
65350747.i.qunar.com	123.59.180.168	80,443	QWS/1.0	80:正常访问
32961.dujia.qunar.com	123.59.180.161,59.151.47.238	80,443	QWS/1.0	80:正常访问
