域名	解析IP	开放端口	WEB服务器	网站状态
market.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
client-server.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
fuyun.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
down.safedog.cn	122.228.236.99	80,443	nginx	80:正常访问
cloud.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
passport.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
security.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
union.safedog.cn	120.41.45.103	80,443	NGINX/0.6.39	80:正常访问
www.safedog.cn	120.41.45.100	80,443	IIS	80:正常访问
backup.safedog.cn	110.86.5.91	-	端口未开放	端口未开放
partner.safedog.cn	110.86.5.91	-	端口未开放	端口未开放
mail.safedog.cn	218.107.217.221	-	端口未开放	端口未开放
blog.safedog.cn	110.86.5.92	-	端口未开放	端口未开放
download.safedog.cn	117.25.130.72	80	nginx	80:正常访问
bbs.safedog.cn	120.41.45.102	80,443	获取失败	80:-
soft.safedog.cn	120.41.45.103	80,443	Microsoft-HTTPAPI/2.0	80:(404) 未找到
ad.safedog.cn	120.41.45.103	80,443	NGINX/0.6.39	80:正常访问
ads.safedog.cn	122.228.236.99	80,443	nginx	80:正常访问
free.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
update.safedog.cn	120.41.45.103	80,443	获取失败	80:-
sys.safedog.cn	120.41.45.111	80	获取失败	80:-
config.safedog.cn	120.41.45.103	80,443	NGINX/0.6.39	80:正常访问
test2.safedog.cn	120.41.45.111	80	获取失败	80:-
test4.safedog.cn	120.41.45.111	80	获取失败	80:-
test5.safedog.cn	120.41.45.111	80	获取失败	80:-
patch.safedog.cn	120.41.45.103	80,443	NGINX/0.6.39	80:正常访问
nginx.safedog.cn	58.222.37.43,58.222.37.46,58.222.37.44,58.222.37.42,58.222.37.48,58.222.37.45,58.222.37.41,58.222.16.17,58.222.37.47,58.222.16.18	80,443	openresty	80:正常访问
track.safedog.cn	183.129.245.60	80,443	Microsoft-IIS/7.5	80:正常访问
testsite.safedog.cn	120.41.45.111	80	获取失败	80:-
404.safedog.cn	122.228.236.99	80,443	nginx	80:正常访问
beifen.safedog.cn	110.86.5.91	-	端口未开放	端口未开放
guizhou.safedog.cn	120.41.45.111	80	获取失败	80:-
weixin.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
shanghai.safedog.cn	120.41.45.111	80	获取失败	80:-
test6.safedog.cn	120.41.45.111	80	获取失败	80:-
test9.safedog.cn	120.41.45.111	80	获取失败	80:-
testaqb.safedog.cn	120.41.45.111	80	获取失败	80:-
testbbs.safedog.cn	120.41.45.111	80	获取失败	80:-
xinjiang.safedog.cn	120.41.45.111	80	获取失败	80:-
sft.safedog.cn	120.41.45.101	80,443	IIS	80:正常访问
qdn.safedog.cn	120.41.45.111	80	获取失败	80:-
huli.safedog.cn	211.149.175.210	-	端口未开放	端口未开放
