域名	解析IP	开放端口	WEB服务器	网站状态
1600.bj.bbs.house.sina.com.cn	123.59.190.240	80,443	nginx	80:正常访问
123.auto.sina.com.cn	180.149.153.24	80,443	Sina	80:(500) 内部服务器错误
1hai.sina.com.cn	113.108.216.230	80,443	Sina	80:(404) 未找到
2.wap.sina.com.cn	202.108.35.165	80,443	Apache/2.2.29 (Unix) PHP/5.2.17 mod_ssl/2.2.29 OpenSSL/0.9.8e-fips-rhel5	80:正常访问
2004.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2002.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2006.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2008.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2008.mail.sina.com.cn	113.108.216.230	80,443	Sina	80:正常访问
06supergirl.sina.com.cn	123.125.31.237	80	nginx	80:正常访问
1942.ent.sina.com.cn	123.125.31.237	80	nginx	80:正常访问
2010.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2010auto.sc.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2010.sc.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2010.t.sina.com.cn	180.149.134.142,180.149.134.141	80,443	WeiBo	80:正常访问
2012.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2013weibo.hb.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2014.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2013weibo.sc.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2016.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2014weibo.hb.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
2h.bj.bbs.house.sina.com.cn	123.59.190.240	80,443	nginx	80:正常访问
315.edu.sina.com.cn	180.149.153.24	80,443	Sina	80:正常访问
360.44talk.bbs.house.sina.com.cn	123.59.190.240	80,443	nginx	80:正常访问
184.pub.sina.com.cn	202.106.182.184	-	端口未开放	端口未开放
3c.henan.sina.com.cn	202.102.94.124	80,443	nginx	80:正常访问
3g.wap.sina.com.cn	202.108.35.165	80,443	Apache/2.2.29 (Unix) PHP/5.2.17 mod_ssl/2.2.29 OpenSSL/0.9.8e-fips-rhel5	80:正常访问
3g.sina.com.cn	123.125.29.114	80,443	openresty	80:正常访问
