域名	解析IP	开放端口	WEB服务器	网站状态
123.mse.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:正常访问
12306.ie.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:正常访问
123.ie.sogou.com	36.110.165.43,36.110.164.37,220.181.125.61,218.30.103.50,106.39.246.42,36.110.170.48	80,443	nginx	80:正常访问
123.sogou.com	36.110.170.48,36.110.165.43,36.110.164.37,220.181.125.61,218.30.103.50,106.39.246.42	80,443	nginx	80:正常访问
3g.sogou.com	183.36.114.45,183.36.114.44	80,443	nginx	80:正常访问
abc.ie.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:正常访问
8.sogou.com	220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36	80,443	nginx	80:正常访问
account.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:(405) 不允许的方法
ahsj.wan.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:(404) 未找到
ahxy.wan.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:(404) 未找到
ahtl.wan.sogou.com	220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50	80,443	nginx	80:(404) 未找到
agent.sogou.com	180.149.156.128,180.149.156.123,180.149.156.124,180.149.156.125,180.149.156.126,180.149.156.127	80,443	nginx	80:正常访问
apihome.sogou.com	180.149.156.127,180.149.156.128,180.149.156.123,180.149.156.124,180.149.156.125,180.149.156.126	80,443	nginx	80:正常访问
app.i.sogou.com	106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36	80,443	nginx	80:(500) 内部服务器错误
app.wenwen.sogou.com	183.3.226.90	80,443	nginx	80:正常访问
ahxyj.wan.sogou.com	106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36	80,443	nginx	80:正常访问
app.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:正常访问
aj2.wan.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:正常访问
appm.i.sogou.com	220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36	80,443	nginx	80:(500) 内部服务器错误
appd.123.sogou.com	36.110.170.55,36.110.164.36,36.110.170.36,36.110.164.32	80,443	nginx/1.4.1	80:正常访问
appsearch.m.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:正常访问
athena.wan.sogou.com	36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35	80,443	nginx	80:正常访问
baike.m.sogou.com	183.3.226.90	80,443	nginx	80:(405) 不允许的方法
bbs.zhushou.sogou.com	220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50	80,443	nginx	80:正常访问
bd.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:正常访问
bendi.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:正常访问
blogsearch.sogou.com	106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36	80,443	nginx	80:正常访问
book.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:正常访问
bo.sogou.com	180.149.156.125,180.149.156.126,180.149.156.127,180.149.156.128,180.149.156.123,180.149.156.124	80,443	nginx	80:正常访问
by.wan.sogou.com	106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36	80,443	nginx	80:(404) 未找到
bztx.wan.sogou.com	106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36	80,443	nginx	80:正常访问
bzzr.wan.sogou.com	220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36	80,443	nginx	80:(404) 未找到
campus.sogou.com	211.151.116.14	80,443		80:正常访问
123.lu.sogou.com	180.149.156.123,180.149.156.124,180.149.156.125,180.149.156.126,180.149.156.127,180.149.156.128	80,443	nginx	80:(502) 错误的网关
che.sogou.com	106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43	80,443	nginx	80:正常访问
cmc.imgstore.cdn.sogou.com	220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41,36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36	80,443	nginx	80:正常访问
cnc.www.sogou.com	36.110.171.43,36.110.171.40,36.110.147.35,36.110.147.36,220.181.124.50,220.181.124.36,106.39.246.43,106.39.246.41	80,443	nginx	80:正常访问
