域名	解析IP	开放端口	WEB服务器	网站状态
acs.vip.com	221.228.213.115	80,443	vipshop/VIP	80:正常访问
feedback.vip.com	221.228.213.115	80,443	vipshop/VIP	80:正常访问
ap.vip.com	183.6.216.41	80,443	nginx	80:(405) 不允许的方法
mst.vip.com	183.6.216.41	80,443	nginx	80:正常访问
iclub.vip.com	183.6.216.43	80,443	nginx	80:正常访问
help.vip.com	183.6.216.41	80,443	nginx	80:正常访问
home.vip.com	183.6.216.44	80,443	nginx	80:正常访问
kid.vip.com	183.6.216.42	80,443	nginx	80:正常访问
m.vip.com	183.6.216.42	80,443	nginx	80:正常访问
beauty.vip.com	183.6.216.44	80,443	nginx	80:正常访问
jf.vip.com	183.6.216.43	80,443	nginx	80:正常访问
lux.vip.com	183.240.49.134	80,443	nginx	80:正常访问
lady.vip.com	183.240.49.131	80,443	nginx	80:正常访问
sport.vip.com	183.6.216.41	80,443	nginx	80:正常访问
jia.vip.com	64.125.34.251,64.125.34.243,64.125.34.249,64.125.34.252,64.125.34.253	80,443	vipshop/Vbib	80:(404) 未找到
s1.vip.com	64.125.34.243,64.125.34.249,64.125.34.252,64.125.34.253,64.125.34.251	80,443	vipshop/VipS	80:正常访问
blog.vip.com	183.6.216.42	80,443	nginx	80:正常访问
support.vip.com	183.6.216.43	80,443	nginx	80:正常访问
fav.vip.com	120.83.182.131	80,443	nginx	80:(405) 不允许的方法
campus.vip.com	222.73.233.36	80	Apache	80:正常访问
fuli.vip.com	183.6.216.41	80,443	nginx	80:(405) 不允许的方法
vis.vip.com	183.6.216.43	80,443	nginx	80:正常访问
viva.vip.com	183.6.216.44	80,443	nginx	80:正常访问
wap.vip.com	183.6.216.43	80,443	nginx	80:正常访问
tms.vip.com	221.228.212.23	80,443	nginx	80:正常访问
order.vip.com	183.6.216.42	80,443	nginx	80:(405) 不允许的方法
job.vip.com	219.135.134.227	443	nginx/1.10.3	443:正常访问
passport.vip.com	183.6.216.43	80,443	nginx	80:(405) 不允许的方法
shoes-bags.vip.com	183.6.216.44	80,443	nginx	80:正常访问
click.union.vip.com	116.31.114.239	80,443	vipshop/Vbib	80:正常访问
myi.vip.com	183.6.216.41	80,443	nginx	80:(405) 不允许的方法
global.vip.com	183.240.49.133	80	nginx	80:正常访问
vop.vip.com	183.6.216.43	80,443	nginx	80:正常访问
vipcard.vip.com	120.83.182.132	80,443	nginx	80:正常访问
comm.vip.com	183.240.49.132	-	端口未开放	端口未开放
brand.vip.com	163.171.130.132	-	端口未开放	端口未开放
ir.vip.com	104.71.168.129	80,443	nginx	80:正常访问
lv.vip.com	183.6.216.41	80,443	nginx	80:正常访问
union.vip.com	183.240.49.133	80	nginx	80:(405) 不允许的方法
c.vip.com	183.60.219.235	80,443	nginx	80:正常访问
pb.vip.com	183.6.216.44	80,443	nginx	80:正常访问
s.vip.com	183.6.216.43	80,443	nginx	80:正常访问
acce.vip.com	183.240.49.132	80	nginx	80:正常访问
u.vip.com	114.67.54.170,114.67.54.169	-	端口未开放	端口未开放
