域名	解析IP	开放端口	WEB服务器	网站状态
a.dpool.weibo.com	180.149.134.249	80,443	Apache	80:正常访问
2014.weibo.com	180.149.138.236	80,443	Apache	80:正常访问
2013.weibo.com	180.149.134.249	80,443	Apache	80:正常访问
8.weibo.com	180.149.134.249	80,443	WeiBo/LB	80:正常访问
a.weibo.com	180.149.134.142,180.149.134.141	80,443	WeiBo/LB	80:正常访问
api.weibo.com	180.149.135.176	80,443	nginx	80:正常访问
app.weibo.com	180.149.138.172	80,443	nginx	80:正常访问
2014.sc.weibo.com	180.149.138.238	80	-	80:(503) 服务器不可用
apps.weibo.com	180.149.134.217	80,443	nginx/1.6.1	80:正常访问
apps.e.weibo.com	180.149.138.238	80	-	80:(503) 服务器不可用
ask.weibo.com	218.30.114.191	80	Apache	80:正常访问
bang.weibo.com	180.149.134.216	80,443	nginx/1.6.1	80:正常访问
bleachorl.game.weibo.com	113.108.216.230	80,443	Sina	80:正常访问
boke.weibo.com	180.149.134.217	80,443	WeiBo	80:正常访问
c.weibo.com	180.149.134.147	80,443	WeiBo	80:正常访问
book.weibo.com	221.179.175.207	80,443	Tengine	80:正常访问
card.weibo.com	180.149.139.105	80,443	WeiBo	80:正常访问
cai.weibo.com	180.149.153.24	80,443	Sina	80:正常访问
club.weibo.com	180.149.138.235	80	Apache	80:正常访问
d.weibo.com	180.149.134.141,180.149.134.142	80,443	nginx/1.2.0	80:正常访问
darentong.weibo.com	180.149.134.147	80,443	WeiBo	80:正常访问
dasai.manhua.weibo.com	221.179.175.207	80,443	Sina	80:正常访问
desktop.weibo.com	180.149.134.249	80,443	Apache	80:正常访问
dianping.weibo.com	180.149.134.216	80,443	WeiBo	80:正常访问
dtszj.game.weibo.com	180.149.153.24	80,443	Sina	80:正常访问
data.weibo.com	113.108.216.230	80,443	Sina	80:正常访问
e.weibo.com	180.149.134.147	80,443	WeiBo	80:正常访问
eq.weibo.com	180.149.134.249	80,443	nginx	80:正常访问
event.game.weibo.com	113.108.216.230	80,443	Sina	80:(404) 未找到
focus.weibo.com	180.149.153.24	80,443	nginx	80:正常访问
game.manhua.weibo.com	180.149.134.101	80,443	nginx/1.4.4	80:(503) 服务器不可用
game.weibo.com	113.108.216.230	80,443	Sina	80:正常访问
gongyi.weibo.com	180.149.134.217	80,443	nginx/1.6.1	80:正常访问
gouwu.sc.weibo.com	180.149.134.147	80,443	nginx/1.6.1	80:正常访问
badge.weibo.com	180.149.138.236	80,443	Apache	80:正常访问
gouwu.weibo.com	180.149.134.147	80,443	WeiBo	80:正常访问
forum.open.weibo.com	123.125.104.30	-	端口未开放	端口未开放
gongyi2013.weibo.com	180.149.138.236	80,443	Apache	80:正常访问
hk.weibo.com	218.213.85.50	80,443	Apache	80:正常访问
help.weibo.com	180.149.134.249	80,443	nginx/1.6.1	80:正常访问
hot.plaza.weibo.com	180.149.134.216	80,443	nginx/1.6.1	80:正常访问
hot.weibo.com	180.149.134.217	80,443	nginx/1.2.0	80:正常访问
hd.e.weibo.com	127.0.0.1	-	端口未开放	端口未开放
daren.sc.weibo.com	180.149.134.147	80,443	获取失败	80:-
hr.weibo.com	61.172.201.176	-	端口未开放	端口未开放
huodong.weibo.com	180.149.138.189,180.149.138.188	80,443	nginx/1.6.1	80:正常访问
index.weibo.com	113.108.216.230	80,443	Sina	80:正常访问
img.tw.weibo.com	47.94.112.118	80,443	Varnish	80:(403) 已禁止
ka.weibo.com	113.108.216.230	80,443	Sina	80:正常访问
kpop.weibo.com	180.149.134.251	80,443	Apache/2.2.15 (CentOS)	80:正常访问
ir.weibo.com	104.71.168.129	80,443	nginx	80:正常访问
lady.weibo.com	113.108.216.230	80,443	nginx	80:正常访问
ketang.weibo.com	114.80.223.59	80	-	80:(503) 服务器不可用
m.my.weibo.com	210.17.38.49	80,443	Apache/2.2.29 (FreeBSD) DAV/2 mod_fastcgi/mod_fastcgi-SNAP-0910052141 mod_ssl/2.2.29 OpenSSL/0.9.8za-freebsd	80:正常访问
m.hk.weibo.com	218.213.85.198	80	Apache	80:正常访问
m.overseas.weibo.com	210.17.38.49	80,443	Apache/2.2.29 (FreeBSD) DAV/2 mod_fastcgi/mod_fastcgi-SNAP-0910052141 mod_ssl/2.2.29 OpenSSL/0.9.8za-freebsd	80:正常访问
m.pop.tw.weibo.com	210.17.38.55	80,443	Apache/2.4.17 (FreeBSD) OpenSSL/1.0.2d	80:正常访问
m.sg.weibo.com	210.17.38.49	80,443	Apache/2.2.29 (FreeBSD) DAV/2 mod_fastcgi/mod_fastcgi-SNAP-0910052141 mod_ssl/2.2.29 OpenSSL/0.9.8za-freebsd	80:正常访问
m.th.weibo.com	47.94.112.118	80,443	Apache/2.2.29 (FreeBSD) DAV/2 mod_fastcgi/mod_fastcgi-SNAP-0910052141 mod_ssl/2.2.29 OpenSSL/0.9.8za-freebsd	80:正常访问
m.tw.weibo.com	210.17.38.56	80,443	Apache/2.2.29 (FreeBSD) DAV/2 mod_fastcgi/mod_fastcgi-SNAP-0910052141 mod_ssl/2.2.29 OpenSSL/0.9.8za-freebsd	80:正常访问
m.travel.weibo.com	113.108.216.230	80,443	Sina	80:正常访问
m.weibo.com	180.149.153.187,180.149.153.216,180.149.153.242,180.149.139.248	80,443	nginx/1.6.1	80:正常访问
manhua.weibo.com	221.179.175.207	80,443	Sina	80:正常访问
