域名	解析IP	开放端口	WEB服务器	网站状态
www.xin.com	117.91.191.115,117.91.191.114,61.147.223.93,58.220.27.116,222.186.149.112,222.186.149.229,61.147.223.95,117.91.191.120,222.186.149.198,61.147.223.92,58.220.27.80,222.186.149.197,58.220.27.79,61.147.223.94,58.220.27.117,117.91.191.121	80,443	Tengine	80:正常访问
ab.xin.com	223.202.87.200	80,443	nginx	80:(403) 已禁止
m.xin.com	61.147.223.95,222.186.149.230,222.186.149.233,222.186.149.112,222.186.149.229,61.147.223.92,61.147.223.94,61.147.223.89,61.147.223.91,222.186.149.198,222.186.149.231,61.147.223.96,61.147.223.93,61.147.223.90,222.186.149.197	80,443	Tengine	80:正常访问
da.xin.com	223.202.87.200	80,443	nginx	80:(404) 未找到
op.xin.com	172.16.90.23	-	端口未开放	端口未开放
u.xin.com	203.130.43.133	-	端口未开放	端口未开放
apis.xin.com	123.59.249.199	80,443	nginx	80:正常访问
ai.xin.com	172.16.2.200	-	端口未开放	端口未开放
msg.xin.com	10.160.100.78	-	端口未开放	端口未开放
download.xin.com	223.202.87.200	80,443	nginx	80:(403) 已禁止
manager.xin.com	101.251.196.210	443	获取失败	443:-
service.xin.com	172.16.2.200	-	端口未开放	端口未开放
pm.xin.com	172.16.2.200	-	端口未开放	端口未开放
git.xin.com	172.16.2.200	-	端口未开放	端口未开放
wiki.xin.com	10.160.25.49	-	端口未开放	端口未开放
ba.xin.com	172.16.2.210	-	端口未开放	端口未开放
channel.xin.com	101.251.196.207	80,443	获取失败	80:-
canal.xin.com	172.16.20.90	-	端口未开放	端口未开放
conf.xin.com	101.251.218.119	-	端口未开放	端口未开放
data.xin.com	192.168.200.134	-	端口未开放	端口未开放
nb.xin.com	172.16.2.200	-	端口未开放	端口未开放
ias.xin.com	1.1.1.3	80	获取失败	80:-
sm.xin.com	10.70.1.38	-	端口未开放	端口未开放
vpn.xin.com	223.202.101.150	80,443	-	80:(404) 未找到
dic.xin.com	172.16.2.200	-	端口未开放	端口未开放
10d.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
1d.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
bg.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
cctv.xin.com	172.16.2.200	-	端口未开放	端口未开放
freehost5.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
lad.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
pqj.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
usercenter.dev.xin.com	172.16.2.210	-	端口未开放	端口未开放
wx.test.xin.com	172.16.2.210	-	端口未开放	端口未开放
xplus.xin.com	223.202.87.200	80,443	nginx	80:(500) 内部服务器错误
eip.xin.com	210.12.136.153	80	nginx	80:正常访问
ycd.xin.com	223.202.87.200	80,443	nginx	80:正常访问
