域名	解析IP	开放端口	WEB服务器	网站状态
yjh.yiji.com	119.84.7.134	80,443	nginx	80:(403) 已禁止
cdn.yiji.com	43.230.89.180	80,443	marco/2.7	80:(404) 未找到
apidoc.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
statics.yiji.com	113.31.20.124	-	端口未开放	端口未开放
global.yiji.com	119.84.7.134	80,443	获取失败	80:-
m.yiji.com	119.84.7.134	80,443	nginx	80:(404) 未找到
fx.yiji.com	119.84.7.134	80,443	获取失败	80:-
api.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
cat.yiji.com	219.153.5.145	80,443	nginx	80:(403) 已禁止
logs.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
fox.yiji.com	119.84.7.134	80,443	nginx	80:(404) 未找到
payment.yiji.com	219.153.5.145	80,443	nginx	80:(403) 已禁止
image.yiji.com	119.84.7.134	80,443	nginx	80:(403) 已禁止
oa.yiji.com	219.153.5.145	80,443	nginx	80:(403) 已禁止
personal.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
permission.yiji.com	119.84.7.134	80,443	nginx	80:(404) 未找到
magazine.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
boss.yiji.com	119.84.7.134	80,443	nginx	80:(403) 已禁止
11d.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
35d.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
3d.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
4d.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
4w.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
5d.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
5w.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
7w.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
8w.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
9d.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
admin.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
bjtu.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
cs.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
freehost5.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
host5.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
mpay.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
openvpn.bjbgp.yiji.com	118.5.49.6	-	端口未开放	端口未开放
openvpn.yiji.com	49.2.123.56	-	端口未开放	端口未开放
sziit.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
voucher.yiji.com	119.84.7.134	80,443	nginx	80:(403) 已禁止
xwd.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
zzu.test.yiji.com	219.153.5.243	80,443	nginx	80:(403) 已禁止
px.yiji.com	219.153.5.145	80,443	nginx	80:(403) 已禁止
ppm.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
xfp.yiji.com	113.31.20.106	-	端口未开放	端口未开放
yfb.yiji.com	113.31.83.115	-	端口未开放	端口未开放
yxt.yiji.com	219.153.5.148	443	nginx	443:(403) 已禁止
cqgw.yiji.com	219.153.5.250	80		80:正常访问
hera.yiji.com	119.84.7.134	80,443	nginx	80:正常访问
