域名	解析IP	开放端口	WEB服务器	网站状态
app.yirendai.com	117.122.213.161,101.254.241.77	80,443	nginx	80:正常访问
licai.yirendai.com	101.254.241.84,117.122.213.163	80,443	nginx	80:正常访问
cps.yirendai.com	101.254.100.47,117.122.213.159	80,443	nginx	80:正常访问
www.yirendai.com	65.153.158.200,65.153.196.199,65.153.196.131,65.153.196.197,65.153.196.201,65.153.158.198,65.153.158.199,65.153.196.132,65.153.196.203	80,443	nginx	80:正常访问
www2.yirendai.com	111.207.203.229,106.39.46.92	-	端口未开放	端口未开放
bc.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:正常访问
m.yirendai.com	117.122.213.153,101.254.100.41	80,443	nginx	80:正常访问
hd.yirendai.com	117.122.213.161	80,443	获取失败	80:-
wap.yirendai.com	117.122.213.161,101.254.241.77	80,443	openresty	80:正常访问
daikuan.yirendai.com	65.153.196.201,65.153.196.197,65.153.196.199,65.153.158.199,65.153.158.200,65.153.158.198,65.153.196.132,65.153.196.203,65.153.196.131	80,443	获取失败	80:-
z.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:正常访问
2.yirendai.com	117.122.213.161,101.254.241.77	80,443	nginx	80:正常访问
mall.yirendai.com	101.254.100.46	80,443	nginx	80:正常访问
email.yirendai.com	117.122.213.159,101.254.100.47	80,443	nginx	80:(403) 已禁止
api.yirendai.com	101.254.100.41,117.122.213.153	80,443	nginx	80:正常访问
static.yirendai.com	65.153.158.199,65.153.158.200,65.153.196.197,65.153.196.199,65.153.196.131,65.153.196.203,65.153.196.132,65.153.196.201,65.153.158.198	80,443	openresty	80:正常访问
union.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:(500) 内部服务器错误
mobile.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:正常访问
login.yirendai.com	117.122.213.167,101.254.241.93	80,443	openresty	80:正常访问
zhaopin.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:正常访问
alpha.yirendai.com	101.254.241.85,117.122.213.164	80,443	nginx	80:正常访问
manage.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:(403) 已禁止
portal.yirendai.com	117.122.213.219,101.254.241.122	80,443	nginx	80:正常访问
pay.yirendai.com	101.254.241.89,117.122.213.166	80,443	openresty	80:正常访问
security.yirendai.com	221.122.36.164,113.209.197.132	80,443	openresty	80:(403) 已禁止
general.yirendai.com	65.153.196.132,65.153.196.199,65.153.196.201,65.153.196.131,65.153.158.198,65.153.196.203,65.153.196.197,65.153.158.200,65.153.158.199	80,443	nginx	80:(403) 已禁止
ir.yirendai.com	23.215.104.121,23.215.104.88	80,443		80:正常访问
5g.yirendai.com	117.122.213.161,101.254.241.77	80,443	nginx	80:正常访问
tv.yirendai.com	101.254.241.77	80	获取失败	80:-
tg.yirendai.com	117.122.213.158,101.254.100.46	80,443	nginx	80:正常访问
sdk.yirendai.com	117.122.213.204,101.254.241.104	443	nginx	443:(404) 未找到
sale.yirendai.com	117.122.213.161,101.254.241.77	80,443	nginx	80:正常访问
dream.yirendai.com	101.254.100.45,117.122.213.157	80,443	nginx	80:正常访问
dawn.yirendai.com	101.254.241.77,117.122.213.161	80	nginx	80:(403) 已禁止
bang.yirendai.com	65.153.158.199,65.153.196.132,65.153.196.197,65.153.196.131,65.153.158.198,65.153.196.201,65.153.196.199,65.153.158.200,65.153.196.203	80,443	nginx	80:正常访问
weixin.yirendai.com	117.122.213.158,101.254.100.46	80,443	nginx	80:正常访问
dxf.yirendai.com	117.122.213.159,101.254.100.47	80,443	nginx	80:(403) 已禁止
meg.yirendai.com	123.58.253.5	-	端口未开放	端口未开放
sla.yirendai.com	111.47.226.152,1.31.128.252	80,443	-	80:(500) 内部服务器错误
yxd.yirendai.com	101.254.100.41,117.122.213.153	80,443	nginx	80:正常访问
niu.yirendai.com	45.116.153.101,45.116.153.102,45.116.153.100,45.116.153.104,45.116.153.106,45.116.153.107,45.116.153.105,45.116.153.103	80	获取失败	80:-
mlss.yirendai.com	65.153.196.201,65.153.196.203,65.153.158.199,65.153.158.198,65.153.196.197,65.153.158.200,65.153.196.199,65.153.196.132,65.153.196.131	80,443	nginx	80:正常访问
vpn.yirendai.com	101.254.182.9	443	获取失败	443:-
