域名	解析IP	开放端口	WEB服务器	网站状态
3g.yy.com	103.227.121.100	80,443	nginx	80:(403) 已禁止
123.yy.com	113.207.34.245,113.207.34.241,113.207.34.243,113.207.34.242,113.207.34.251,113.207.34.249,113.207.34.248,113.207.34.244,113.207.34.252,113.207.34.246	80,443	获取失败	80:-
aq.yy.com	106.38.197.42	80,443	nginx	80:正常访问
bbs.yy.com	103.227.121.100	80,443	nginx	80:(403) 已禁止
ahxyj.yy.com	58.215.143.2	80,443	nginx	80:正常访问
app.g.yy.com	58.215.183.172	80,443	nginx	80:正常访问
artist.yy.com	14.17.109.66	80,443	nginx	80:(404) 未找到
bbs.hjyx.yy.com	58.215.143.118	80,443	nginx	80:(404) 未找到
ahtl.yy.com	14.17.106.80,221.228.83.161,221.228.106.121,14.17.106.45	80	nginx	80:(403) 已禁止
aoshi.yy.com	58.215.143.2	80,443	nginx	80:正常访问
cz.yy.com	14.17.109.66	80,443	nginx	80:正常访问
bo.yy.com	14.17.109.66	80,443	nginx	80:正常访问
d1.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
d2.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
d3.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
c3.mai.yy.com	157.185.179.197	80,443	获取失败	80:-
c4.mai.yy.com	157.185.179.197	80,443	获取失败	80:-
c5.mai.yy.com	157.185.179.197	80,443	获取失败	80:-
jj.yy.com	122.13.211.66	80,443	nginx	80:(403) 已禁止
k.yy.com	14.17.119.5	80	nginx	80:正常访问
q.yy.com	58.215.143.2	80,443	nginx	80:正常访问
r.yy.com	221.228.83.148	80,443	nginx/1.6.0	80:正常访问
v5.yy.com	59.110.150.76,47.97.239.75	80,443	nginx	80:(403) 已禁止
of.yy.com	119.29.105.21	80	Apache/2.4.6 (CentOS) PHP/5.4.16	80:正常访问
yy.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
e.yy.com	14.17.109.66	80,443	获取失败	80:-
mail.yy.com	183.36.121.77	80,443	nginx	80:正常访问
news.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:(404) 未找到
map.yy.com	14.17.112.230	80,443	nginx	80:正常访问
api.yy.com	116.31.121.135	80	nginx	80:(403) 已禁止
hr.yy.com	47.95.46.1	80,443	nginx/1.4.6 (Ubuntu)	80:正常访问
corp.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
msg.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
vip.yy.com	14.17.109.66,221.228.79.225,113.107.236.195	80,443	nginx	80:正常访问
hello.yy.com	124.236.110.197	80,443	nginx	80:正常访问
log.yy.com	183.36.122.250	-	端口未开放	端口未开放
cdn.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
web.yy.com	47.246.17.230,47.246.17.229,47.246.17.227,47.246.17.231,47.246.17.232,47.246.17.233,47.246.17.234,47.246.17.228	80,443	nginx	80:(403) 已禁止
service.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
youxi.yy.com	14.17.109.66	80,443	nginx	80:正常访问
activity.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
show.yy.com	14.17.109.66,113.107.236.195,221.228.79.225	80,443	nginx	80:正常访问
pm.yy.com	10.21.1.197	-	端口未开放	端口未开放
play.yy.com	119.84.134.213,119.84.134.216,119.84.134.215,119.84.134.214,119.84.134.212,119.84.134.218,119.84.134.217,119.84.134.211	80,443	Tengine	80:正常访问
git.yy.com	10.21.0.3	-	端口未开放	端口未开放
wan.yy.com	157.185.179.197	80,443	nginx	80:正常访问
kf.yy.com	14.17.109.66	80,443	nginx	80:正常访问
lucky.yy.com	14.17.109.66	80,443	nginx	80:正常访问
safe.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
image.yy.com	117.149.244.129,114.236.92.129,60.28.125.129,124.239.226.1,183.214.10.1,60.221.17.1,61.147.122.129,183.134.19.1,223.112.143.1,218.60.15.1,113.113.101.1,183.236.60.129,183.146.25.1,183.95.87.1,124.232.182.1	80	openresty	80:(400) 错误的请求
agent.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
ca.yy.com	106.38.197.42	80,443	nginx	80:正常访问
share.yy.com	120.132.154.119	80,443	获取失败	80:-
channel.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:正常访问
ct.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:(502) 错误的网关
code.yy.com	10.21.0.46	-	端口未开放	端口未开放
dc.yy.com	14.17.106.80,14.17.106.45,221.228.106.121,221.228.83.161	80	nginx	80:(403) 已禁止
design.yy.com	14.17.109.66	80,443	nginx	80:正常访问
dm.yy.com	14.17.109.66	80,443	nginx	80:(404) 未找到
do.yy.com	14.17.109.66,221.228.79.225,113.107.236.195	80,443	nginx	80:(403) 已禁止
gt.yy.com	59.110.150.76,47.97.239.75	80,443	nginx	80:(404) 未找到
global.yy.com	140.207.208.119,140.207.208.120	-	端口未开放	端口未开放
investors.yy.com	14.17.106.45,221.228.83.161,221.228.106.121,14.17.106.80	80	nginx	80:正常访问
ly.yy.com	58.215.143.2	80,443	nginx	80:正常访问
km.yy.com	113.108.231.252	-	端口未开放	端口未开放
med.yy.com	14.17.109.66	80,443	nginx	80:正常访问
mr.yy.com	221.228.106.121,14.17.106.45,14.17.106.80,221.228.83.161	80	nginx	80:(403) 已禁止
mq.yy.com	106.38.198.245,106.38.198.244	-	端口未开放	端口未开放
order.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:(403) 已禁止
pk.yy.com	14.17.109.66,221.228.79.225,113.107.236.195	80,443	nginx	80:正常访问
promo.yy.com	14.17.109.66	80,443	nginx	80:(403) 已禁止
pop.yy.com	183.36.121.77	80,443	nginx	80:正常访问
secure.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
sj.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
smtp.yy.com	183.36.121.77	80,443	nginx	80:正常访问
st.yy.com	14.17.109.66	80,443	nginx	80:正常访问
h5.yy.com	219.72.154.57,219.72.154.114,219.72.154.56,219.72.154.61,219.72.154.59,219.72.154.60,219.72.154.58	80,443	Tengine	80:正常访问
s1.yy.com	47.246.17.234,47.246.17.229,47.246.17.231,47.246.17.230,66.198.24.234,47.246.17.233,47.246.17.227,66.198.24.179,47.246.17.228,66.198.24.186,66.198.24.180,66.198.24.181,66.198.24.182,66.198.24.185	80,443	Tengine	80:(403) 已禁止
s2.yy.com	218.92.0.73	80,443	Tengine	80:(403) 已禁止
va.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
s5.yy.com	219.72.155.87,219.72.155.39,219.72.155.86,219.72.155.38,219.72.155.42,219.72.155.40,219.72.155.43,219.72.155.41	80,443	获取失败	80:-
voice.yy.com	14.17.106.45,221.228.83.161,14.17.106.80,221.228.106.121	80	nginx	80:(403) 已禁止
next.yy.com	111.231.113.232,111.231.68.32	80,443	openresty	80:(404) 未找到
gif.yy.com	59.63.247.242,59.63.247.248,59.63.247.240,59.63.247.249,59.63.247.244,59.63.247.241,59.63.247.250,59.63.247.243,59.63.247.251,59.63.247.239	80,443	Tengine	80:(403) 已禁止
act.yy.com	150.138.202.130,113.107.236.195,221.228.79.225,14.17.109.66	80,443	nginx	80:正常访问
friend.yy.com	1.1.1.1	80,443	cloudflare	80:(403) 已禁止
like.yy.com	183.36.122.246	80,443	nginx	80:正常访问
task.yy.com	103.227.121.100	80,443	获取失败	80:-
honor.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:(403) 已禁止
ap.yy.com	47.254.37.13,47.254.39.130	443	获取失败	443:-
bird.yy.com	113.107.161.12	80	nginx	80:(404) 未找到
rank.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:正常访问
alike.yy.com	125.88.149.80,183.36.122.246	80,443	nginx	80:正常访问
birds.yy.com	14.17.106.45,221.228.83.161,221.228.106.121,14.17.106.80	80	nginx	80:(403) 已禁止
location.yy.com	14.17.109.66,221.228.79.225,113.107.236.195	80,443	获取失败	80:-
invest.yy.com	14.17.109.66,221.228.79.225	80,443	nginx	80:(403) 已禁止
res.yy.com	183.232.194.113,183.232.194.119,183.232.194.117,183.232.194.116,183.232.194.118,183.232.194.114,183.232.194.112,183.232.194.115	80,443	获取失败	80:-
weekly.yy.com	113.107.236.205	-	端口未开放	端口未开放
bole.yy.com	183.57.81.211,221.228.209.55	80	nginx	80:正常访问
checkin.yy.com	14.17.109.66,113.107.236.195	80,443	nginx	80:正常访问
dpqk.yy.com	221.228.106.121,14.17.106.80,221.228.83.161,14.17.106.45	80	nginx	80:(403) 已禁止
image3.yy.com	119.36.228.240,119.36.228.250,119.36.228.252,119.36.228.243,119.36.228.248,119.36.228.251,119.36.228.241,119.36.228.253,119.36.228.239,119.36.228.242	80,443	Tengine	80:(400) 错误的请求
image4.yy.com	113.207.34.249,113.207.34.244,113.207.34.242,113.207.34.243,113.207.34.251,113.207.34.252,113.207.34.245,113.207.34.241,113.207.34.253,113.207.34.248	80,443	Tengine	80:(400) 错误的请求
interface.yy.com	14.17.109.66,221.228.79.225,113.107.236.195	80,443	nginx	80:(404) 未找到
image2.yy.com	42.81.4.111,42.81.4.120,42.81.4.116,42.81.4.110,42.81.4.117,42.81.4.112,42.81.4.115,42.81.4.119,42.81.4.109,42.81.4.113	80,443	Tengine	80:(400) 错误的请求
image1.yy.com	39.130.171.115,39.130.171.122,39.130.171.121,39.130.171.119,39.130.171.123,39.130.171.118,39.130.171.113,39.130.171.117,39.130.171.114,39.130.171.116	80	获取失败	80:-
ly2.yy.com	14.17.106.80,14.17.106.45,221.228.106.121,221.228.83.161	80	nginx	80:(403) 已禁止
meta.yy.com	47.252.0.68,47.90.248.98	-	端口未开放	端口未开放
mlxt.yy.com	14.17.106.80,221.228.106.121,14.17.106.45,221.228.83.161	80	nginx	80:(403) 已禁止
rxzj.yy.com	14.17.106.80,221.228.106.121,221.228.83.161,14.17.106.45	80	nginx	80:(403) 已禁止
res1.yy.com	218.8.164.119,218.8.164.123,218.8.164.214,218.8.164.120,218.8.164.213,218.8.164.121,218.8.164.240,218.8.164.122	80,443	Tengine	80:(403) 已禁止
sjsg.yy.com	221.228.83.161,14.17.106.80,221.228.106.121,14.17.106.45	80	nginx	80:(403) 已禁止
static.m.yy.com	113.113.101.1,61.147.122.129,124.239.226.1,60.28.125.129,60.221.17.1,218.60.15.1,117.149.244.129,183.95.87.1,183.236.60.129,114.236.92.129,183.134.19.1,223.112.143.1,124.232.182.1,183.214.10.1,183.146.25.1	80,443	nginx	80:正常访问
stun.yy.com	183.36.123.212,183.36.123.211	-	端口未开放	端口未开放
utest.yy.com	113.107.237.54	80,443	Apache/2.4.7 (Ubuntu) OpenSSL/1.0.1 mod_wsgi/3.4 Python/2.7.3	80:正常访问
weihui.yy.com	61.155.137.135,61.155.137.136	80,443	nginx	80:正常访问
zidian.yy.com	47.97.239.75,59.110.150.76	80,443	nginx	80:正常访问
dp.yy.com	14.17.109.66	80,443	nginx	80:正常访问
