域名	解析IP	开放端口	WEB服务器	网站状态
3d.zbj.com	113.107.238.209,122.228.238.99	80,443		80:正常访问
88.ipr.zbj.com	49.4.65.160	80,443	-	80:(502) 错误的网关
brand.zbj.com	49.4.65.160	80,443		80:正常访问
bang.zbj.com	49.4.65.160	80,443		80:正常访问
city.zbj.com	49.4.65.160	80,443		80:正常访问
cy.ipr.zbj.com	49.4.65.160	80,443		80:正常访问
cs.zbj.com	113.31.137.20	80,443		80:正常访问
dakehu.zbj.com	49.4.65.160	80,443		80:正常访问
dasai.zbj.com	49.4.65.160	80,443		80:正常访问
edu.zbj.com	49.4.65.160	80,443	-	80:(403) 已禁止
gc.zbj.com	180.150.178.250	80,443	nginx	80:正常访问
fz.zbj.com	49.4.65.160	80,443		80:正常访问
hr.zbj.com	49.4.65.160	80,443		80:正常访问
home.zbj.com	49.4.65.160	80,443		80:正常访问
ipr.zbj.com	49.4.65.160	80,443		80:正常访问
job.zbj.com	49.4.65.160	80,443		80:正常访问
jr.zbj.com	49.4.65.160	80,443	-	80:(500) 内部服务器错误
js.zbj.com	49.4.65.160	80,443		80:正常访问
kc.zbj.com	49.4.65.160	80,443		80:正常访问
kj.zbj.com	49.4.65.160	80,443	-	80:(502) 错误的网关
login.zbj.com	49.4.65.160	80,443		80:正常访问
loonroom.zbj.com	49.4.65.160	80,443		80:正常访问
leshan.zbj.com	49.4.65.160	80,443		80:正常访问
m.zbj.com	49.4.65.160	80,443	-	80:(500) 内部服务器错误
patent.ipr.zbj.com	49.4.65.160	80,443		80:正常访问
quan.zbj.com	117.21.219.92,113.107.238.209	80,443		80:正常访问
shang.zbj.com	49.4.65.160	80,443		80:正常访问
sec.zbj.com	113.31.137.20	80,443		80:正常访问
task.zbj.com	49.4.65.160	80,443		80:正常访问
youxuan.zbj.com	49.4.65.160	80,443	-	80:(404) 未找到
vr.zbj.com	122.228.238.113,113.107.238.209	80,443		80:正常访问
ys.zbj.com	117.21.219.92,122.228.238.113	80,443		80:正常访问
